SupplierTitle,AmazonTitle,EAN_clean,EAN_OnPage_clean,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,sales,TitleMatch,MatchCategory
Christmas Jiggly Ball Assortment (Assorted Designs),"abeec 12 Pack of Jiggly Balls | Squishy Sensory Stress Balls for Kids & Adults | Party Bag Fillers, Fidget Toys & Anxiety Relief",5016064074616,,B09ZLT2V24,0.12,13.99,6.849583333333334,1053.7820512820513,200,0.3016759776536313,MODERATE_CONFIDENCE
Celestia Candlestick- Electroplate Silver Glass (10cm),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519256037,,B0F7R9GN9X,3.072,53.99,32.72291666666666,1052.1838156484455,100,0.20080321285140562,LOW_CONFIDENCE
Ava May Pearlised Oval Burner,"Flower Bouquet Building Set, 1020 PCS Botanical Collection Building Block Toy, Rose Flowers Plant Home Decor, Christmas, Mother's Day, Valentine's Day Birthday Gift Toys for Girls Women 6+",5056364104989,716597795129,B0FDGR74V7,1.368,32.99,17.71166666666667,1048.027613412229,50,0.11981566820276497,LOW_CONFIDENCE
Halloween Bottles (Assorted),"4DRC V13 Drone for kids Adults with 1080P HD FPV Camera, Foldable Mini RC Quadcopter With Waypoint, Functions,Headless Mode,Altitude Hold,Gesture Selfie,3D Flips,Beginners Toys Gifts",5017224814608,,B09KM68ZW1,2.544,45.99,27.49625,1029.8220973782772,700,0.1523809523809524,LOW_CONFIDENCE
Wooden Pirate Puzzle 2 Asstd  by AtoZ Toys,Toddler Educational Toys for 1 2 3 Years Old Boys and Girls - 3 Montessori Jigsaw Wooden Puzzles for Kids - Animals Learning Gifts for 2-4 Years Old - Fun Kids Games,5012866625223,,B0845XYT99,0.708,21.99,11.724999999999998,1028.5087719298242,50,0.2318840579710145,LOW_CONFIDENCE
Ava May Oval Burner Bowl - Pearlised,"Flowers Bouquet Building Set, Rose Flower Botanical Collection Building Kit Toys Home Decoration Gifts for Valentine Day, Christmas, Birthday, Mother's Day, Toys for Girl Women Kids Aldult 6+",5056364104972,,B0FDGQV357,1.2,27.99,15.866249999999996,1023.6290322580644,50,0.18502202643171806,LOW_CONFIDENCE
Age 8 Unisex Birthday Latex Balloons (6 Pks Of 8 Balloons),"Aigostar Smart WiFi Glass Panel Heater, Alexa Heating Control - 1500W Ultra-Thin Space Heater, Wall Mount or Floor Use, Quiet Touch Control with Timer & Eco Mode for Bedroom/Office - Holly Smart",5055579165129,8433325221911,B0F8Q44Z4T,4.788,83.59,45.74833333333335,1007.6725403817918,50,0.1984126984126984,LOW_CONFIDENCE
Baubles & Bow Christmas Tinsel Wreath (Assorted),"GloBrite 40cm Christmas Wreath with Bows, Baubles & Lantern | Wreaths for Front Door | Door Wreaths Home Decor Christmas Decorations for Outdoor Decorations - Silver",5056170332392,,B0BN8NBJFT,0.9,21.99,11.86625,912.7884615384614,800,0.3004694835680751,MODERATE_CONFIDENCE
Hoot Pop-Up Sun Tent,"Lealinga Snorkel Set Adults 2Pack, Snorkel Mask Anti-Fog Panoramic View Diving Mask Dry Top Snorkel Kit with Travel Bag Diving Set for Snorkeling Scuba Diving Swimming Travel",5056283828386,,B0DQWRVWJN,1.824,32.99,18.88791666666667,912.4597423510468,300,0.15463917525773196,LOW_CONFIDENCE
Jungle Party Bowls,Spear & Jackson 8290RS Razorsharp Advance Heavy Duty Telescopic Ratchet Anvil Lopper,5038451076485,5012095076711,B004N9BSQE,1.416,32.95,15.638333333333332,903.9499036608864,600,0.19607843137254902,LOW_CONFIDENCE
