category,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,title_match,sales_numeric,NetProfit,ROI,SupplierPrice_incVAT,SellingPrice_incVAT
MODERATE_CONFIDENCE,5056170389211.0,,B0BCWQ4DXL,Ladies Novelty Chistmas Socks (Assorted Designs),Ladies Christmas Socks | Sock Snob | Womens Colourful Novelty Design Xmas Socks | Gift for Her,0.4788732394366197,400.0,3.4262500000000005,276.3104838709678,0.828,9.99
MODERATE_CONFIDENCE,5050565713667.0,,B0BMDZMN1Y,Luxury Red Plush Christmas Hat,"Red Santa hat Christmas Hat for Adult Luxury Plush Xmas Hat with a Pompom for Men and Women,red",0.32,400.0,3.375833333333333,125.03086419753086,2.58,11.98
MODERATE_CONFIDENCE,5055579130974.0,5030005154106.0,B07VRLL99D,Iridescent White Galaxy Bow On Header,"Toyland® 30cm (12"") Large Iridescent Christmas Tree Tinsel Bow - Festive Decorative Tree Topper/Decoration…",0.3333333333333333,400.0,3.375000000000001,432.6923076923077,0.276,9.99
UNCERTAIN,5015302109516.0,5061009750100.0,B0CB4LXJZJ,Hello Baby Design Pink Baby Blanket (75cm x 100cm),Personalised Baby Blanket Embroidered with Name & Elephant Design Soft Customised Blanket for Newborn Baby Girl Cot & Pram Blanket Baby Girl Present 100x75cm (Pink),0.21495327102803738,400.0,3.0595833333333333,59.75748697916666,5.484,14.95
MODERATE_CONFIDENCE,5034123100090.0,5015302106065.0,B07CL5KHVJ,Exclusive to Angel Fine China Yummy Mummy  Mug - Gift Boxed,"New Parents Mugs Mummy Daddy Newborn 12oz Bone China Luxury New Born Celebration Mug, Set of 2, For Home Kitchen Office",0.3258426966292135,400.0,2.716666666666668,166.6666666666667,1.296,10.94
MODERATE_CONFIDENCE,5015302105495.0,,B01H2276F0,250ml Feeding Bottle (Assorted Designs),"Sterifeed Baby Bottle, Sterile, Reusable 250ml, Pack of 5",0.375,400.0,2.6416666666666675,178.49099099099104,1.116,8.99
MODERATE_CONFIDENCE,5055442171615.0,,B0BCWQ4DXL,Ladies Novelty Chistmas Socks (Assorted Designs),Ladies Christmas Socks | Sock Snob | Womens Colourful Novelty Design Xmas Socks | Gift for Her,0.4788732394366197,400.0,2.616250000000001,127.62195121951224,1.8,9.99
UNCERTAIN,5050565657725.0,5051174059542.0,B0148NVY6I,Christmas Softies 23cm (Assorted),"Baker Ross AF816 Reindeer Christmas Jumper Plush Pals — Novelty Toys for Kids, Perfect Party, Loot or Prize Bag Filler (Pack of 3), Assorted",0.2774566473988439,400.0,1.9183333333333328,125.38126361655772,1.176,8.95
MODERATE_CONFIDENCE,5053189097014.0,5060562526665.0,B0DCT3Q96Y,Christmas Activity Books (3 Pack),"Christmas Activity Book Set for Kids – 3 Pack – Colouring Book (A4), Dot to Dot & Puzzle Book – 48 Pages Each – Recycled Paper – Festive Activity Fun – Ideal Stocking Filler",0.3106796116504854,400.0,1.7150000000000003,128.94736842105266,0.936,6.99
UNCERTAIN,5023797402159.0,636123047037.0,B075P5JWFC,Jacquard Knee-length Socks with coloured Hearts  by Soft Touch,"SockStack Women's Knee High 4 Pack Fair Isle Design Thermal Socks, Size 4-7, SK238",0.2916666666666667,400.0,1.5016666666666665,85.32196969696967,1.452,8.45
