EAN,EAN_OnPage,InList?,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5060082934230,,TRUE,8472785,Puzzle Time Book Assorted,The Sunday Times Teasers Book 1: Challenge yourself with 100 lateral-thinking puzzles (The Sunday Times Puzzle Books),https://www.poundwholesale.co.uk/puzzle-time-no-vat,https://www.amazon.co.uk/dp/0008472785,,,,,0.768,0.64,9.99,1.4985,2.8,0.55,1.665,0.128,3.3865,1.537,1.2995,109.2016807,5.6165,13.00800801
5010743880055,5060824382022,TRUE,B0B3VXBTGZ,Big K Barbecue Lighting Fluid 1l,"Topline Pack of 4 Big K Barbeque Firelighter Odourless Fluid - BBQs, Firepits - Indoor Fires & Log Burners - Camping Grill - Bonfire - 1000ml with Unique Card.",https://www.poundwholesale.co.uk/big-k-barbecue-lighting-fluid-1ltr,https://www.amazon.co.uk/dp/B0B3VXBTGZ,,,Available (see Keepa data),1,4.392,3.66,20.99,3.1485,2.8,0.55,3.498333333,0.732,7.883166667,2.766333333,4.566833333,108.4758511,10.8905,21.75718596
5.05325E+12,,FALSE,B0FD3NKY16,151 White Satin Stain & Damp Block Spray 400ml,"Strongthium 1/4"" 6mm Inline Petrol Fuel Filters with Magnet for Kawasaki Kohler Lawn Mowers Small Tractors Garden Equipment Snowmobiles Tillers Go Garts and others with Fuel Clamps x20",https://www.poundwholesale.co.uk/151-white-satin-stain-damp-block-spray-400ml,https://www.amazon.co.uk/dp/B0FD3NKY16,,Available (see Keepa data),,1,2.328,1.94,9.99,1.5,1.73,0.55,1.665,0.388,3.155,1.277,1.328,53.33333333,6.108,13.29329329
5010743550019,5702017814681,TRUE,B0C1NT63YW,Big K Disposable Instant BBQ,LEGO Botanicals Happy Plants Toy - Crafts Kit for Kids incl. 2 Artificial Plants with 2 Colourful Flower Pots & Interchangeable Cartoon Faces - Nature Gifts for 9+ Year Old Girls & Teens - 10349,https://www.poundwholesale.co.uk/big-k-disposable-instant-bbq,https://www.amazon.co.uk/dp/B0C1NT63YW,,Available (see Keepa data),Available (see Keepa data),15,3.336,2.78,17.99,2.7,2.94,0.55,2.998333333,0.556,6.571666667,2.442333333,3.579333333,107.4874875,9.526,19.89623865
5052578044103,,TRUE,B0DH4WBPD4,Bettina Catering Snow White Dishcloths 20 Pack,"Kiprim Pinless Damp Meter Moisture Meter for Wood, Walls, Masonry – Accurate Non-Destructive Testing with Audible and Visual Alarm,4 Modes, Data Hold, and Mute Function",https://www.poundwholesale.co.uk/bettina-catering-snow-white-dishcloths-20-pack,https://www.amazon.co.uk/dp/B0DH4WBPD4,,Available (see Keepa data),,4,5.016,4.18,19.99,2.6,2.94,0.55,3.331666667,0.836,6.938333333,2.495666667,3.892666667,82.29739253,11.106,19.47306987
5056175959723,,TRUE,B0F6F8MT46,Buzz Pink Silicone Sponge Pad,"MULTY Set of 3 Non-Scratch Sponges for Home, Kitchen, and Bathroom – Durable, Reusable, and Washable up to 100 Times – Hygiene and Cleaning Made in Italy",https://www.poundwholesale.co.uk/buzz-pink-silicone-sponge-pad,https://www.amazon.co.uk/dp/B0F6F8MT46,,,,,0.768,0.64,8.99,1.3485,2.8,0.55,1.498333333,0.128,2.703166667,1.370333333,0.782833333,65.78431373,5.4665,8.707823508
5413247002662,,TRUE,B0854KLTZ1,Blackboard With Chalks & Eraser Assorted Colours,"Volcanics Dry Wipe Pens Whiteboard Markers Dry Erase Pens Low Odor Fine TipThin Box of 12, 10 Colours",https://www.poundwholesale.co.uk/blackboard-with-chalks-eraser-assorted-colours,https://www.amazon.co.uk/dp/B0854KLTZ1,,Available (see Keepa data),,6,0.816,0.68,6.99,1.05,1.73,0.55,1.165,0.136,2.365,1.029,0.786,63.90243902,4.146,11.24463519
5060082932755,5060960650221,TRUE,B09YVGPKLK,U. Peel And Seal 80GSM DL White Window Envelopes 30 Pack,"FIRST CHOICE KAYA 25, 50, 100 DL White Mailing Envelopes Self Seal for Posting mailing Home Office and Ecommerce Peel and Seal (100)",https://www.poundwholesale.co.uk/35-peel-and-seal-80gsm-dl-white-window-envelopes,https://www.amazon.co.uk/dp/B09YVGPKLK,,,Available (see Keepa data),1,0.72,0.6,6.99,1.05,1.87,0.55,1.165,0.12,2.305,1.045,0.71,61.73913043,4.19,10.15736767
5038673172057,,TRUE,B0DWN8XWXL,Copper Steel Balti Dish 17.5cm,"MIXEL Stainless Steel Copper Kadhai, Rust-Resistant, Corrosion-Resistant, Luxurious Appearance, Reduces The Cooking Time, Sleek, Modern Finish, (17 cm)",https://www.poundwholesale.co.uk/copper-steel-balti-dish-17-5cm,https://www.amazon.co.uk/dp/B0DWN8XWXL,,,,,8.436,7.03,25.99,3.8985,2.8,0.55,4.331666667,1.406,7.929833333,2.925666667,4.454166667,58.76209323,15.6845,17.1380018
5060665750011,5011259994489,TRUE,B09TLDM17X,All About The Birds Wild Bird Fat Balls 6 Pack,"Fat Balls for Wild Birds (50) - High Energy Suet Feed, Nutritious, Great for Hanging Feeders, Attracts Birds to Garden All Year Round - Honeyfield's, 4.25 kg (Pack of 1)",https://www.poundwholesale.co.uk/all-about-the-birds-wild-bird-fat-balls-6-pack,https://www.amazon.co.uk/dp/B09TLDM17X,,,Available (see Keepa data),3,1.02,0.85,14.01,2.21,5.19,0.55,2.335,0.17,3.425,2.165,0.71,50.71428571,8.97,5.067808708
5052578035736,,TRUE,B0DH4WBPD4,Bettina Heavy Duty Sponge Scourer 4 Pack,"iwiio Balloons 100 Pack - Assorted Rainbow for Birthday Party, Wedding, Baby Shower Decorations - Support Helium/Air, Colorful Kids' Party Supplies",https://www.poundwholesale.co.uk/bettina-heavy-duty-sponge-scourer-4-pack,https://www.amazon.co.uk/dp/B0DH4WBPD4,,Available (see Keepa data),,1,0.852,0.71,6.99,1.05,1.86,0.55,1.165,0.142,2.205,1.023,0.632,50.15873016,4.312,9.04148784
5.01392E+12,65181680366,FALSE,B07KZF3RRY,Artbox Googly Eyes 50 Pack,"1000 Pcs Black Wiggle Googly Eyes with Self-Adhesive, 6mm 8mm 10 mm 12mm Mixed Packaging",https://www.poundwholesale.co.uk/artbox-goggly-eyes-50-pack,https://www.amazon.co.uk/dp/B07KZF3RRY,400,Available (see Keepa data),Available (see Keepa data),3,0.672,0.56,5.95,0.89,1.7,0.55,0.991666667,0.112,1.808333333,0.879666667,0.378666667,34.11411411,3.812,6.364145658
5000170500220,9781548667986,TRUE,1548667986,Farm Tractor And Trailer Play Set,The Fun Knowledge Encyclopedia: The Crazy Stories Behind the World's Most Interesting Facts: 1 (Trivia Bill's General Knowledge),https://www.poundwholesale.co.uk/farm-tractor-and-trailer-play-set,https://www.amazon.co.uk/dp/1548667986,,,Available (see Keepa data),19,2.928,2.44,12.99,1.95,2.72,0.55,2.165,0.488,3.715,1.677,1.488,49.76588629,8.148,11.45496536
5055566996576,5903771863469,TRUE,B08CZV9X6K,Crosby Shoelaces Assorted Styles & Lengths 10 Pairs,Round Shoelaces (2 Pairs) Premium Waxed Durable Thin 3mm Laces for Dress Casual Oxford Shoes,https://www.poundwholesale.co.uk/crosby-shoelaces-assorted-styles-lengths-10-pairs,https://www.amazon.co.uk/dp/B08CZV9X6K,,Available (see Keepa data),,1,0.756,0.63,5.99,0.9,1.46,0.55,0.998333333,0.126,2.001666667,0.872333333,0.579333333,49.0960452,3.666,9.671675014
