ASIN,EAN,EAN_OnPage,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,SupplierTitle
B071KG3G2R,5050375124165,5050375124165.0,-0.0283333333333332,-1.9540229885057383,,,PAN AROMA AIR FRESHENER REFILL TROPICAL
B071KKCGJ7,5050028108559,5050028108559.0,0.1116666666666669,7.7011494252873725,,,JCB LED D/L GLS ES 10W EACH
B071RDJG8B,5055566988014,5055566988014.0,0.6683333333333346,48.08153477218234,,,BLOOME WAX MELTS FRESH BERRIES
B0725CDJFJ,5011417780619,5011417780619.0,-0.4850000000000005,-5.425055928411639,200.0,200.0,AIRWICK FRESHMATIC REFILL PINK SWEET PEA PK4
B0734KR6JR,5032759047376,5032759047376.0,2.245000000000001,68.23708206686932,,,AMTECH JIGSAW ALUMINIUM BLADE 5PC SET
B073D9LRCC,5050028108443,5050028108443.0,0.6816666666666678,53.25520833333341,,,JCB LED BULB DAY LIGHT CANDLE BC 6W/40W
B074TM7JNQ,5032759047314,5032759047314.0,-1.008333333333333,-32.63214670981661,,,AMTECH JIGSAW METAL BLADE 5PC SET (AMT118B)
B074TM7JNS,5032759047321,5032759047321.0,-0.9983333333333332,-32.30852211434736,,,AMTECH JIGSAW METAL BLADE 5PC SET (AMT118G)
B078HF4X37,5055319517492,5055319517492.0,-1.3883333333333323,-59.3304843304843,,,RAPIDE SPRAY ALL PURPOSE GLOSS VARNISH 400ML
B078HG6HNS,5055319517348,5055319517348.0,-1.0233333333333328,-43.73219373219371,50.0,50.0,PAINT FACTORY COLOUR IT SPRAY PRIMER WHITE 400ML
B078HG8R1T,5055319517508,5055319517508.0,-1.7433333333333334,-74.50142450142451,200.0,200.0,RAPIDE SPRAY ALL PURPOSE MATT VARNISH 400ML
B078HMWZFD,5055319517485,5055319517485.0,-1.266666666666666,-54.1310541310541,50.0,50.0,RAPIDE SPRAY ALL PURPOSE VARNISH YACHT 400ML
B078YW3M43,5055319510677,5055319510677.0,-0.0183333333333333,-1.0299625468164784,,,PAINT FACTORY FABRIC PAINT GOLD 200ML
B078YW947S,5055319510684,5055319510684.0,-1.475,-82.86516853932582,,,PAINT FACTORY FABRIC SILVER 200ML
B0792B5GRH,5055319553896,5055319553896.0,-0.7299999999999995,-48.66666666666664,,,PAINT FACTORY NEON YELLOW 200ML
B07BK4P8GT,5022822195752,5022822195752.0,-1.3150000000000002,-56.19658119658121,,,STATUS DIMMABLE LED CANDLE SES W/W 5.5W 40W
B07C9X3XNQ,5053249217451,5053249217451.0,0.4216666666666666,25.249500998003988,,,PAN AROMA DIFFUSER DOME 50ML WILD BERRIES
B07CDV9CZ8,5053249215280,5053249215280.0,2.6308333333333342,104.81407702523244,,,151 PAINT SPRAY 400ML CLEAR LACQUER
B07DC7Q2DV,5030481930362,5030481930362.0,0.3099999999999995,26.050420168067184,,,PPS MICRO 4 ROUND CONTAINER+ LID 1000ML
B07DTC6S1G,5056170305655,5056170305655.0,-0.8766666666666668,-63.0695443645084,,,BLOC RADIATOR KEYS 2PK
B07F8YFJ5C,5056170305723,5056170305723.0,-1.0783333333333336,-77.5779376498801,,,BLOC TAPE MEASURE 5M
B07G2B2XK6,5053249000909,5053249000909.0,-0.1699999999999999,-11.333333333333329,,,151 HARD AS NAILS MOUNTING TAPE
B07HCFS586,5020535010812,5020535010812.0,-1.4283333333333326,-65.82181259600611,700.0,700.0,ELYSIUM SPA EUCALYPTUS EPSOM SALTS 1KG EACH
B07HJ6V448,5056175901166,5056175901166.0,0.8550000000000002,61.51079136690648,300.0,300.0,CRAFT FABRIC GLUE 50ML
B07K7N68CJ,5056170305587,5056170305587.0,-0.8349999999999999,-60.071942446043145,,,NAILS FLAT HEAD ASSORTED 250PK
B07KGJJWF9,5053249228198,5053249228198.0,-0.3966666666666664,-27.35632183908044,,,PAN AROMA C TEA-LIGHTS 16PK WILD BERRY
