ASIN,EAN,SupplierTitle,AmazonTitle,NetProfit,ROI,ProfitMargin,bought_in_past_month,amazon_sales_badge,SupplierPrice_incVAT,SellingPrice_incVAT,fba_seller_count,total_offer_count
B0F47LT53C,5056338359377,MASONARY DRILL BIT SET 5PC,"BGTEC Serrated Carbide Masonry Drill Bit Set - 5PCS 5/6/8/10/12MM Multi-Purpose Wood Drill Bits for Masonry, Wood, Plastic, Brick, Tile, Glass, Concrete & Marble",7.755000000000002,557.9136690647482,58.19887429643528,100.0,100.0,1.008,15.99,Available (see Keepa data),2.0
B0F66QFGSX,5022822226623,STATUS LED G9 2W LED CAPSULE BULB EACH,"G9 LED Bulbs 2W Warm White 2700K, 320LM Energy Saving Light Bulbs Equivalent to 28W Halogen, No Flicker Capsule GU9 LED Bulb for Home Lighting Decor, Chandelier, Not Dimmable, 220-240V, 4 Pack",3.0183333333333326,201.2222222222222,42.16530849825377,200.0,200.0,1.14,8.59,Available (see Keepa data),1.0
B0F83HRGXY,5024418588870,SIL HOUSEHOLD MIRROR 25X17CM  ASSORTED,"Self Adhesive Mirror Tiles,4 Pcs 30x30cm (2mm Thick) Stick On Mirrors For Walls,Acrylic Stick On Mirrors For Wardrobe Doors Bathroom Livingroom Bedroom Decor (4)",4.302916666666667,241.73689138576785,43.0650542118432,50.0,50.0,1.476,11.99,,
B0F8NBHPJD,8680858302420,TTZ COM SALT SHAKER 80 ML,"4 Pack 80ml Salt Pepper Shaker, Salt Shaker with Adjustable Pour Holes, Spice Shaker, Glass Spice Jar with Shaker lids, Salt Cellar Salt Container Salt Dispenser for Seasoning Kitchen",5.741250000000002,546.7857142857144,53.036951501154746,50.0,50.0,0.6,12.99,,
B0F9NKW65N,5017403155881,KINGAVON LED LIGHT BULB SET USB RECHARGEABLE,"Rechargeable Light Bulbs with Remote Control, 3 Color + RGB USB Rechargeable Light Bulb, B22 LED Dimmable Battery Light Bulb Up to 24H, A60 Emergency LED Light Bulbs with Touch Control(2 PK)",3.7550000000000017,92.2604422604423,28.18011257035648,50.0,50.0,4.224,15.99,,1.0
B0F9PQ3Z5L,5056239472090,HAIR GRIP SET 200PC,"300pcs Bobby Pins Kit, Brown 100 Hair Pins for Women, 100 U Shaped Hair Pins for Buns, 100 Hair Bands with Box, hair bun pins, strong hair grips for women, 2inch, 2.36inch, 2.75inch",0.6383333333333343,45.92326139088736,15.35070140280563,400.0,400.0,1.008,4.99,Available (see Keepa data),1.0
B0FB2VXH8H,5050565451897,HAIR BOBBLES 36PC BROWN BLACK WHITE,"15 Pcs Brown and Black Hair Bobbles, Mixed Color Elastic Hair Ties for Women and Girls, Thick No Damage Bands, Ponytail Holders",1.6016666666666668,115.22781774580336,32.08681135225376,100.0,100.0,1.008,5.99,Available (see Keepa data),1.0
B0FCRTMFGJ,5055319524735,RAPIDE LEATHER GLUE 30ML,"Leather Glue 60ml – Extra Strong, Waterproof & Flexible Adhesive – Fast-Drying Repair Glue for Leather & Vinyl – Ideal for Shoes, Bags, Sofas, Jackets, Car Seats & More",1.8083333333333345,130.09592326139094,27.15894868585733,500.0,500.0,1.008,7.99,Available (see Keepa data),1.0
B0FDBBC1KW,5055319521895,RAPIDE NANO TAPE 30MM X 1M,"Scotch Universal Gel Tape, 30mm x 3m - Double-Sided for Multi-purpose & Heavy Duty Applications, Removable Nano Mounting Tape, Clear, Water-Resistant, Holds up to 9 kg",0.9683333333333336,69.6642685851319,17.113402061855673,200.0,200.0,1.008,6.79,Available (see Keepa data),3.0
B0FDKKLN9Q,8711252473215,LIFETIME HAIR CLIPS 12PC ASSORTED,"12PCS Sectioning Hair Clips for Styling + 3PCS Comb, Hair Grips for Women, Slick Back Brush Set, Salon and Home Hairdressing Clips(Black)",1.2349999999999997,105.55555555555554,26.99453551912568,200.0,200.0,0.744,5.49,Available (see Keepa data),1.0
B0FDL9S7BW,5055319559737,RAPIDE CARTRIDGE MULTI-PURPOSE,"5 Water-Based Block Printing Inks | Black, Blue, Red, White & Yellow | 38ml High Concentration Tubes | Easy-to-Mix | High Opacity - by Zieler",14.010000000000002,934.0,62.825112107623326,100.0,100.0,1.14,26.76,,2.0
B0FDWSFV9P,5050565765314,HAIR ACCESSORIES SET ON ASSTD COLS.,"Girls Hair Accessories Set, 230 Pieces, Butterfly Hair Clips and Elastic Bands, Pink and Multicolour",2.961666666666668,213.06954436450843,39.53281423804228,300.0,300.0,1.008,8.99,Available (see Keepa data),1.0
B0FHHFWP1J,5056239472076,BATH SPONGE IN NET,"CORATED 2pcs African Exfoliating Net Sponge - Bath & Shower Net Sponges, Scrubbing Net Body, Beauty Skin Cleaning for Shower SPA Massage (Black & Dark Green)",3.1350000000000007,225.53956834532377,44.31095406360425,400.0,400.0,1.008,8.49,Available (see Keepa data),1.0
B0FJ6SLR89,5055319564496,STRONG AS AN OX EPOXY PUTTY PELLETS,Multipurpose Epoxy Putty Repair Pellets for Wood Metal Plastic Ceramic etc Strong As An Ox,0.045,3.237410071942449,1.2949640287769797,100.0,100.0,1.008,4.17,,1.0
B0FM8DPYT1,5050375044395,151 SELF ADHESIVE HOOKS 12PK,"Self Adhesive Hooks, 12 Pack Strong Sticky Small Round White Wall Hooks for Hanging, Kitchen, Bathroom, Keys, Utensils & Home Decor No Drilling",1.5216666666666665,91.11776447105784,26.27338129496402,50.0,50.0,1.344,6.95,,1.0
B0FMNXSND2,5050384227932,DETANGLING PADDLE HAIR BRUSH ASSORTED,Benjia 40th Birthday Banner Decorations for Men Women Born in 1986 UK Background Happy 40 Years Old Birthday Backdrop Cheers to 40 Years Banners Black Gold Poster Bday Gift Home Decor Party Supplies,3.276250000000001,235.70143884892093,39.35435435435436,50.0,50.0,1.008,9.99,,
B0FNBSXMNP,5050565566423,XOXO RIBBON HAIR CLIPS 2PC,"Hair Bows for Girls,2Pcs Bow Hair Clips, Cute Curly Grosgrain Ribbon Hair Clips Cheer Girl Hair Accessories for Kids School",0.1550000000000003,11.151079136690672,4.661654135338356,100.0,100.0,1.008,3.99,Available (see Keepa data),1.0
B0FPTG72RG,5017403115649,ASHLEY HAIRDRESSING SPRAY BOTTLE 450ML UP,"Lockable Empty Spray Bottle 300ml Plastic Bottles Spray Bottles for Plants,Gardening, Cleaning, Hairdressing Essential Oil Air Freshening Mist Spray Bottle (pack of 1)",0.1550000000000003,11.151079136690672,4.661654135338356,3000.0,,1.008,3.99,Available (see Keepa data),1.0
B0FPXDBMC9,5032759013920,AMTECH HAMMER BRICK-FIBREGLASS SHAFT,LEGO Star Wars 75449 Siege of Mandalore Battle Pack - Action Toy w/ 2 Mandalorian & 2 Clone Trooper Minifigures plus a Speeder Bike and Blasters - Gift for 6+ Year Old Boys & Fans,1.2199999999999995,20.43551088777219,10.166666666666664,800.0,800.0,6.504,14.4,Available (see Keepa data),50.0
B0FPXDNJ1T,5056239432094,SPRAY ADHESIVE HEAVY DUTY 500ML,LEGO | Marvel Iron Man Mark 3 Collectors' Edition Figure - Avengers Display Model Kit for Adults - incl. a Minifigure & Arc Reactor - Collectible Gift for Fans - 76344,74.47500000000001,2223.1343283582096,74.49362340585147,200.0,200.0,3.36,119.97,,3.0
B0FPXQLVBV,8720573855280,KNIFE SET ASSORTED 25 PIECES,"LEGO Star Wars 75426 SMART Play: Millennium Falcon Model - Compatible Interactive Toy Set incl. 4 SMART Tags and 4 Minifigures - Gift Idea for 9+ Year Old Boys, Girls & Adult Fans",56.74166666666666,4503.3068783068775,75.66396266251806,50.0,50.0,0.852,89.99,,5.0
B0FPXRW6LL,5056683919226,GLAMORIZE CLAW CLIP PEARLESCENT ASSORTED MEDIUM,"LEGO Star Wars 75427 SMART Play: Throne Room Duel & A-Wing - All-in-One Interactive Toy Set incl. 2 SMART Bricks, 5 Tags, 3 Minifigures & Charger - Gift Idea for 9+ Year Old Boys, Girls & Adult Fans",90.23833333333334,6491.966426858514,77.3526680477177,50.0,50.0,1.008,139.99,,6.0
B0FPXVHD1Y,8720573852180,FORK SET ASSORTED 25 PIECES,"LEGO Star Wars 75421 SMART Play: Darth Vader's TIE Fighter - All-in-One Interactive Toy Set incl. SMART Brick, Tag, Minifigure & Charger - Gift Idea for 8+ Year Old Boys, Girls & Adult Fans",36.37166666666667,2886.640211640212,72.75545924320721,300.0,300.0,0.852,59.99,,6.0
B0FPYB5C2J,5056683919202,BUTTERCUP BUTTERFLY HAIR CLIPS FRUIT DESIGNS ASSORTED SMALL PACK OF 4,"LEGO Star Wars 75424 SMART Play: AT-ST Attack on Endor - Compatible Interactive Toy Set incl. 2 SMART Tags and Wicket Minifigure - Gift Idea for 8+ Year Old Boys, Girls & Adult Fans",26.311666666666667,1892.9256594724216,70.18004000889087,100.0,100.0,1.008,44.99,,5.0
B0FTGD68DF,5056175972180,BLOOME DIFFFUSERS FRAGRANCE,"Bloome 2pk Assorted Vase Aroma Mist Diffuser Lavender 200ml - Decorative Perfect Electric Essential Oil Diffusers for Home, Office, & Bathroom, Long Lasting USB Plug In for Pet Odours & Room Freshness",2.567916666666667,184.742206235012,34.2769744160178,50.0,50.0,1.008,8.99,,1.0
B0FTGG38FS,5055257877023,GLAMORIZE HAIR DYE LIGHT BLONDE,"Glamorize 2pk 4 Step Advanced Creme Colour Light Blonde No. 3 – Long Lasting with Up to 100% Grey Coverage, No Bleach Permanent Hair Dye, Bright & Luminous Shade for Women",0.2616666666666667,17.44444444444445,5.242070116861436,100.0,100.0,1.14,5.99,,1.0
B0FWK7XGLR,5060298504562,MASON UTILITY KNIVES 6 PIECES,"KEWAYO Retractable Pen Utility Knife, 6-Piece Craft Cutting Set with 24 Blades, Precision Pen Cutter for Scrapbooking, Journaling, Card Making & School Projects",3.261666666666668,234.65227817745807,43.5372636262514,50.0,50.0,1.008,8.99,Available (see Keepa data),1.0
B0G3877Q25,5024418550778,SIL HAIR SCRUNCHIES ASSORTED PACK OF 5,"Hair Scrunchies for Women - Pack of 8 Satin Scrunchies - Softer Than Silk Hair Ties - No Crease, No Damage, Frizz-free - Gentle on All Hair Types - Perfect for Day & Night - Thoughtful Choice for Her",0.0745833333333335,5.365707434052774,1.636197440585014,300.0,300.0,1.008,5.47,,
B0G488RWDB,5034537018417,LOCKSMITH PADLOCK 32MM,"2 Pack Brass Small Padlocks with Keys, 32mm Heavy Duty Small Padlock, Weather Proof Padlock for Gym Lockers Suitcases Containers Gate Garage Shed",1.2050000000000012,86.69064748201447,23.51219512195124,50.0,50.0,1.008,6.15,Available (see Keepa data),1.0
B0G931BVRP,5056239472335,COTTON CARE KIT,"100 Pieces Disposable Iodine Cotton Swabs, Iodine Disinfected Cotton Swab, Individually Packaged Iodine Swabs for Wound Skin Cleansing",2.205000000000001,158.6330935251799,37.8540772532189,100.0,100.0,1.008,6.99,Available (see Keepa data),1.0
B0GCS65HJT,5024418542414,SIL PICTURE HANGING KIT ASSORTED 60 PIECES,"400 PCS Picture Hanging Kit - Assorted Hooks for Frames and Photos, Perfect for Hard Walls - Includes Saw Tooth Hangers, D-Rings, Nails, and Wire for Easy Installation",0.248333333333334,17.865707434052812,5.971943887775568,500.0,500.0,1.008,4.99,Available (see Keepa data),1.0
B0GFPV7ZBK,5060298504883,MASON PLASTIC WIRE BRUSH WITH SCRAPPER 4 ROW,ZAVIA Wire Brush with Metal Scraper | 4 Row Wire Scratch Brush with Carbon Steel Grit & Plastic Handle for Scrapping Corrosion & paint | Metal Cleaning Wire Brushes for Welding Slag Removal,0.4016666666666669,28.896882494004817,8.04674457429049,50.0,50.0,1.008,5.99,Available (see Keepa data),1.0
B0GFSJLCQ4,5056239433053,PLUNGER WOODEN HANDLE,"Milk Frothing Pitcher, 350ml/12oz 304 Stainless Steel Coffee Jug with Measurement Marks & Latte Art Pen, Ideal for Crafting Latte Art, Cappuccino, Perfect for Home Baristas & Coffee Enthusiasts",1.2583333333333335,83.88888888888891,18.89862327909888,50.0,50.0,1.14,7.99,,1.0
