EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,amazon_sales_badge,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5032759040629.0,5032759040629.0,B00LQQ74KG,AMTECH LED TELESCOPIC INSEPCTION MIRROR,Amtech S2305 2 LED Telescopic Inspection Mirror,https://www.efghousewares.co.uk/amtech-led-telescopic-insepction-mirror-106845,https://www.amazon.co.uk/dp/B00LQQ74KG,,,Available (see Keepa data),Available (see Keepa data),7.0,3.912,3.26,7.63,0.99,2.52,0.55,1.2716666666666665,1.464,-0.4116666666666666,-1.464,-0.9616666666666668,-25.240594925634294,8.783999999999999,-15.124508519003932
5012145004800.0,5012145004800.0,B0030G2004,CAROLINE FOIL 4 DISH & LIDS 30OZ,Caroline Foil Tray+Lid 30oz,https://www.efghousewares.co.uk/caroline-foil-4-dish-lids-30oz-1004,https://www.amazon.co.uk/dp/B0030G2004,,,,Available (see Keepa data),13.0,1.104,0.92,6.07,0.91,3.05,0.55,1.0116666666666667,1.086,0.1783333333333335,-1.086,-0.3716666666666665,-25.28344671201813,6.515999999999999,-7.34761120263591
5032759044085.0,5032759044085.0,B01F40BMH0,AMTECH LOCKING HASP 4INCH,"Amtech T1895 100mm (4"") Self-Locking hasp",https://www.efghousewares.co.uk/amtech-locking-hasp-4inch,https://www.amazon.co.uk/dp/B01F40BMH0,,,,,4.0,3.6,3.0,7.21,0.94,2.42,0.55,1.2016666666666662,1.382,-0.3516666666666665,-1.382,-0.9016666666666666,-25.39906103286385,8.291999999999998,-15.006934812760054
5060357993368.0,,B0FMNVRVQ5,SUPERIOR FOIL 10 CONTAINERS & LID 1 LTR,"Benjia 30th Birthday Greeting Cards for Men Women, Born in 1996 UK Vintage Bday Card with Envelope, 30 Years Old Funny Birthdays Gift Card for Him Her Birthday Decoration Party Supply, 20x25 cm",https://www.efghousewares.co.uk/superior-foil-10-containers-lid-1-ltr,https://www.amazon.co.uk/dp/B0FMNVRVQ5,50.0,50.0,Available (see Keepa data),,1.0,3.48,2.9,5.99,0.9,1.52,0.55,0.9983333333333332,1.174,-0.3283333333333331,-1.174,-0.8783333333333332,-25.458937198067627,7.044,-17.595993322203668
5032759032525.0,,B0017AX3C4,AMTECH HEX KEY RADIATOR,Amtech C3155 Radiator hex Key,https://www.efghousewares.co.uk/amtech-hex-key-radiator,https://www.amazon.co.uk/dp/B0017AX3C4,50.0,50.0,Available (see Keepa data),Available (see Keepa data),16.0,1.668,1.39,4.71,0.61,1.87,0.55,0.7849999999999997,0.8840000000000001,0.0550000000000003,-0.8840000000000001,-0.4949999999999996,-25.515463917525757,5.303999999999999,-12.611464968152855
5056175912940.0,5056175912940.0,B08JCF61FD,LISSEAU MANICURE SET 5 PIECES,Manicure Set 5PCS Nail Care Clippers Scissors Grooming Kits Travel Case in UK,https://www.efghousewares.co.uk/lisseau-manicure-set-5-pieces-125064,https://www.amazon.co.uk/dp/B08JCF61FD,,,,Available (see Keepa data),3.0,1.008,0.84,3.39,0.27,1.52,0.55,0.565,0.636,0.1950000000000001,-0.636,-0.3549999999999998,-25.539568345323733,3.816,-12.566371681415925
5017403012887.0,,B000O9K6LA,MICRO CLAMP SET 6PC,BLACKSPUR Micro CLAMP Set 6/PK,https://www.efghousewares.co.uk/micro-clamp-set-6pc-109532,https://www.amazon.co.uk/dp/B000O9K6LA,,,Available (see Keepa data),Available (see Keepa data),9.0,1.008,0.84,3.65,0.51,1.5,0.55,0.6083333333333334,0.6799999999999999,0.1916666666666663,-0.6799999999999999,-0.3583333333333337,-25.77937649880099,4.08,-11.780821917808233
5032759040933.0,,B00NWI5RT6,AMTECH TORCH GLOW 9 LED,Amtech S8003 9 LED Glow in The Dark Torch,https://www.efghousewares.co.uk/amtech-torch-glow-9-led,https://www.amazon.co.uk/dp/B00NWI5RT6,100.0,100.0,,,,1.824,1.52,5.57,0.6962500000000001,2.41,0.55,0.9283333333333328,1.03525,0.0154166666666673,-1.03525,-0.5345833333333327,-25.825281803542644,6.2115,-11.517055655296216
5032759000197.0,5032759000197.0,B004TRQSYW,AMTECH MATTOCK HEAD 2.2KG,"Amtech A2300 2.2Kg Mattock Head, Drop Forged Steel Head",https://www.efghousewares.co.uk/amtech-mattock-head-2-2kg,https://www.amazon.co.uk/dp/B004TRQSYW,,,,Available (see Keepa data),6.0,8.436,7.03,12.95,1.68,3.49,0.55,2.158333333333333,2.55,-1.408333333333334,-2.55,-1.958333333333334,-25.83553210202288,15.3,-18.146718146718158
5050028078890.0,,B012W029EA,ENERGIZER LED GLS 9.2W W/W B22 BULB EACH,Energizer 8.2 Watt LED Warm White 806lm B22 GLS,https://www.efghousewares.co.uk/energizer-led-gls-9-2w-w-w-b22-bulb-each,https://www.amazon.co.uk/dp/B012W029EA,,,,,,1.08,0.9,4.92,0.6150000000000001,2.41,0.55,0.8199999999999994,0.8950000000000001,0.1750000000000001,-0.8950000000000001,-0.3749999999999999,-25.86206896551723,5.37,-9.146341463414627
5012145001304.0,5012145001304.0,B00F8DN5ME,CAROLINE FOIL TRAY 2 TRAYS 60 OZ  1013,Foil Tray 60oz Baking Tray Fast Postage,https://www.efghousewares.co.uk/caroline-foil-tray-2-trays-60-oz-1013,https://www.amazon.co.uk/dp/B00F8DN5ME,,,,Available (see Keepa data),8.0,1.644,1.37,6.35,0.82,3.05,0.55,1.058333333333333,1.158,0.0516666666666667,-1.158,-0.4983333333333333,-25.954861111111104,6.948,-9.417322834645669
5032759005246.0,5032759005246.0,B007XJWW4S,AMTECH ENGINEERS SQAURE 6 INCH,"Amtech P3800 150mm (6"") Engineer's Square",https://www.efghousewares.co.uk/amtech-engineers-sqaure-6-inch,https://www.amazon.co.uk/dp/B007XJWW4S,100.0,100.0,,Available (see Keepa data),3.0,3.66,3.05,6.45,0.84,1.87,0.55,1.0750000000000002,1.262,-0.3849999999999998,-1.262,-0.9349999999999998,-25.972222222222214,7.571999999999999,-17.395348837209298
5050028108351.0,,B073RHHSQF,JCB LED BULB DAY LIGHT GOLF BC 6W/40W,JCB LED Daylight BC B22 Bayonet Cap Golf Ball Mini Globe Lamp 6500K Light Bulb 40W Equivalent,https://www.efghousewares.co.uk/jcb-led-bulb-day-light-golf-bc-6w-40w,https://www.amazon.co.uk/dp/B073RHHSQF,,,,,,0.876,0.73,4.74,0.5925,2.41,0.55,0.79,0.8565000000000002,0.2174999999999998,-0.8565000000000002,-0.3325000000000002,-25.976562500000018,5.138999999999999,-8.417721518987348
5032759026913.0,5032759026913.0,B008CYWVP8,AMTECH ROLLER MINI 14PC SET,Amtech S3895 14 Piece mini Paint Roller Set,https://www.efghousewares.co.uk/amtech-roller-mini-14pc-set,https://www.amazon.co.uk/dp/B008CYWVP8,,,,,3.0,3.504,2.92,7.45,0.99,2.65,0.55,1.2416666666666665,1.4220000000000002,-0.3516666666666661,-1.4220000000000002,-0.9016666666666662,-25.9846301633045,8.532,-14.523489932885896
5050375026995.0,5050375026995.0,B00641N41Q,151 DECORATORS TOOLS SAFETY SCRAPER,Safety Scrapper,https://www.efghousewares.co.uk/151-decorator-tool-safety-scraper-1-2,https://www.amazon.co.uk/dp/B00641N41Q,,,,Available (see Keepa data),3.0,1.344,1.12,5.19,0.67,2.42,0.55,0.8650000000000002,0.952,0.1150000000000002,-0.952,-0.4349999999999998,-26.047904191616755,5.712,-10.057803468208087
5013478557902.0,5013478557902.0,B000XJ5Z44,KINGFISHER FOIL SET2 PLATTERS 14INCH,"Kingfisher Food Platter, Silver, 14-Inch, Pack of 2",https://www.efghousewares.co.uk/kingfisher-foil-set2-platters-14inch,https://www.amazon.co.uk/dp/B000XJ5Z44,,,,,4.0,0.852,0.71,5.39,0.89,2.67,0.55,0.8983333333333334,0.964,0.2216666666666662,-0.964,-0.3283333333333338,-26.058201058201096,5.783999999999999,-7.309833024118751
8006540541784.0,,B0FN3VQNT8,FEBREZE 3VOL COMPLETE PEONY & CEDAR PK3,High Pressure Shower Heads Hard Water Filter Shower Head 4-Setting Shower Head with 1.5m Shower Hose and Shower Stand Massage Water Saving Large Shower（Black）,https://www.efghousewares.co.uk/febreze-3vol-complete-peony-cedar-pk3-109144,https://www.amazon.co.uk/dp/B0FN3VQNT8,,,,,,16.116,13.43,17.99,2.24875,2.41,0.55,2.998333333333333,3.72775,-3.097083333333334,-3.72775,-3.6470833333333337,-26.08786361468765,22.3665,-24.327404113396337
5032759040704.0,5032759040704.0,B09V4LMPSL,AMTECH METRIC HEX NUT DRIVER 1/4 INCH,"Amtech I5725 Magnetic Hex Nut Driver Set, 8 Pieces, Metric, Quick Change ¼ Inch Shank, Bit Sizes: 6mm-13mm",https://www.efghousewares.co.uk/amtech-metric-hex-nut-driver-1-4-inch,https://www.amazon.co.uk/dp/B09V4LMPSL,,,,,1.0,4.248,3.54,6.95,0.9,1.87,0.55,1.1583333333333332,1.3720000000000003,-0.5183333333333335,-1.3720000000000003,-1.0683333333333336,-26.120619396903024,8.232,-18.44604316546763
