ASIN,EAN,EAN_OnPage,SupplierTitle,AmazonTitle,NetProfit,ROI,ProfitMargin,bought_in_past_month,amazon_sales_badge,SupplierPrice_incVAT,SellingPrice_incVAT,fba_seller_count,total_offer_count
B0DGHC71FK,6923659688457,810087848200.0,KETTLE GLASS 1500ML,"Chefman Electric Kettle, 1.8L 3000W, Hot Water Boiler, Removable Lid for Easy Cleaning, Auto Shut Off, Boil-Dry Protection, Stainless Steel Filter, BPA Free, Borosilicate Glass Electric Tea Kettle",1.448333333333332,19.33689363595904,8.694347173586788,4000.0,,8.328000000000001,19.99,Available (see Keepa data),9.0
B0DHSCFMG6,5056175922246,5702017815657.0,GLAMORIZE HAIR DYE BURGUNDY,"LEGO NINJAGO Kai’s Mech Storm Rider - Ninja Toy with a Flying Motorbike, Action Figure & 3 Minifigures - Birthday Gift Idea for 7 Plus Year Old Boys, Girls and Dragons Rising Fans 71830",20.05166666666667,1336.777777777778,66.85746040566825,100.0,100.0,1.14,35.99,Available (see Keepa data),30.0
B0DHSFZHLN,5056170305327,5702017817583.0,BLOC SUPER GLUE 3G 5PK,LEGO Star Wars 75407 Brick-Built Star Wars Logo - Collectible DIY Building Set for Adults - Iconic Pop Culture Model Kit - Home Office Display Piece - Gift Idea for Adult & Teenage Fans,27.635,1988.1294964028773,70.18412698412698,200.0,200.0,1.008,47.25,Available (see Keepa data),32.0
B0DJ5Y3459,5055319524216,658606279940.0,STRONG AS AN OX CLEAR ROUND HOOKS 4PK,"12 PCS Heavy Duty self Adhesive Clear Hooks Clear Waterproof 15kg 33lb Plastic Strong Sticky Hook for Bathroom Kitchen Wall Door Metal, Tiles, Wood, Ceramic to Make Garland",1.0800000000000003,77.69784172661872,22.978723404255323,3000.0,,1.008,5.64,Available (see Keepa data),2.0
B0DJDH23JW,5060357990091,5060357990107.0,SUPERIOR FOIL 10 CONTAINERS & LID 2 LTR,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, Freezer & Oven Safe Tin Foil Trays For Baking, Cooking, Broiling, Storage Containers, 9 x 9 inch",2.658333333333334,86.59066232356136,24.5952197378566,700.0,700.0,3.024,12.97,Available (see Keepa data),1.0
B0DM5WZT1H,5056175972814,5060997291336.0,BUTTERCUP GIRLS ALICE BANDS FABRIC ASSORTED PACK OF 5,"Cordless Tyre Inflator Air Compressor for Dewalt 18V Battery,150PSI Handheld Tire Pump with Digital Pressure Gauge and LED Light for Cars Motorcycles Bicycles Balls (Tool only,no Battery)",17.206666666666667,1237.8896882494005,65.38315389487018,50.0,50.0,1.008,31.58,Available (see Keepa data),1.0
B0DP7HH5JW,5056239450050,5059001021755.0,RYSONS AIR FRESHENER REFILL MAGNOLIA & CHERRY BLOSSOM,"Air Wick Cherry Blossom & Raspberry Liquid Electrical Triple Refill 19ml, Lasts for up to 100 days per refill, Air Freshener",1.16,77.33333333333334,19.333333333333336,6000.0,,1.14,7.2,,2.0
B0DRCXHL11,5017403133629,5702017815763.0,BLACKSPUR MINI TURBO CUTTER,"LEGO NINJAGO Rogue's Mech Dragon Rider - Ninja Toy with Posable Dragon & Mech Figures - 4 Minifigures, incl. Lloyd & Arin plus a Reveal Sword - Gift for 8+ Year Old Boys & Dragons Rising Fans - 71843",27.801666666666662,1607.0327552986512,69.51864971869139,200.0,200.0,1.416,47.99,,23.0
B0DWDQ4YGR,5055441468594,5702017817637.0,DRI AIRE REFILL BAGS 180G PACK OF 5,LEGO Star Wars 75413 Republic Juggernaut - Building Toy with 3 Droid Figures & 5 Minifigures incl. Ki-Adi-Mundi with a Lightsaber - Gift for 9+ Year Old Boys & The Clone Wars Fans,60.935,1761.1271676300578,73.12931293129313,100.0,100.0,3.492,99.99,Available (see Keepa data),26.0
B0DWDW7RK6,5056338359872,5702017812830.0,CHIPBOARD 40PC,"LEGO Harry Potter Hogwarts Castle: Herbology Class Set with Neville Longbottom, Hermione Granger & Prof. Sprout Minifigures - incl. 3 Mandrake Toy Plants - Gift for 8+ Year Old Girls & Boys - 76445",17.83166666666667,1524.0740740740746,64.86207941800546,700.0,700.0,0.744,32.99,Available (see Keepa data),35.0
B0DZD2JNHP,5056239433367,5065020490199.0,REACH AND PICK UP STICK,"Folliculitis Scalp Psoriasis Treatment Shampoo: Seborrheic Dermatitis, Dandruff & Itchy Scalp Relief with Salicylic Acid, Piroctone Olamine, Rosemary & Coconut Oil",7.045000000000003,258.0586080586081,45.23274478330659,2000.0,,2.616,18.69,Available (see Keepa data),2.0
B0DZF9T9YQ,5055566998365,693037110806.0,BLOOME CANNISTER REFILLS COTTON FRESH,"12 x 250ml Refills Bundle for Automatic Air Freshener Dispenser, Fresh Linen, Citrus Zing, Sparkling Berry & Jasmine Essence Scents for a Refreshing Home or Office",10.249583333333332,683.3055555555554,61.52826413206604,100.0,100.0,1.14,19.99,,2.0
B0F9NKW65N,5017403155881,5056776452999.0,KINGAVON LED LIGHT BULB SET USB RECHARGEABLE,"Rechargeable Light Bulbs with Remote Control, 3 Color + RGB USB Rechargeable Light Bulb, B22 LED Dimmable Battery Light Bulb Up to 24H, A60 Emergency LED Light Bulbs with Touch Control(2 PK)",3.7550000000000017,92.2604422604423,28.18011257035648,50.0,50.0,4.224,15.99,,1.0
B0F9PQ3Z5L,5056239472090,5065022454366.0,HAIR GRIP SET 200PC,"300pcs Bobby Pins Kit, Brown 100 Hair Pins for Women, 100 U Shaped Hair Pins for Buns, 100 Hair Bands with Box, hair bun pins, strong hair grips for women, 2inch, 2.36inch, 2.75inch",0.6383333333333343,45.92326139088736,15.35070140280563,400.0,400.0,1.008,4.99,Available (see Keepa data),1.0
B0FDBBC1KW,5055319521895,68060267023.0,RAPIDE NANO TAPE 30MM X 1M,"Scotch Universal Gel Tape, 30mm x 3m - Double-Sided for Multi-purpose & Heavy Duty Applications, Removable Nano Mounting Tape, Clear, Water-Resistant, Holds up to 9 kg",0.9683333333333336,69.6642685851319,17.113402061855673,200.0,200.0,1.008,6.79,Available (see Keepa data),3.0
B0FDL9S7BW,5055319559737,604565680495.0,RAPIDE CARTRIDGE MULTI-PURPOSE,"5 Water-Based Block Printing Inks | Black, Blue, Red, White & Yellow | 38ml High Concentration Tubes | Easy-to-Mix | High Opacity - by Zieler",14.010000000000002,934.0,62.825112107623326,100.0,100.0,1.14,26.76,,2.0
B0FDWSFV9P,5050565765314,717044161962.0,HAIR ACCESSORIES SET ON ASSTD COLS.,"Girls Hair Accessories Set, 230 Pieces, Butterfly Hair Clips and Elastic Bands, Pink and Multicolour",2.961666666666668,213.06954436450843,39.53281423804228,300.0,300.0,1.008,8.99,Available (see Keepa data),1.0
B0FNBSXMNP,5050565566423,737706291820.0,XOXO RIBBON HAIR CLIPS 2PC,"Hair Bows for Girls,2Pcs Bow Hair Clips, Cute Curly Grosgrain Ribbon Hair Clips Cheer Girl Hair Accessories for Kids School",0.1550000000000003,11.151079136690672,4.661654135338356,100.0,100.0,1.008,3.99,Available (see Keepa data),1.0
B0FPTG72RG,5017403115649,5061094350582.0,ASHLEY HAIRDRESSING SPRAY BOTTLE 450ML UP,"Lockable Empty Spray Bottle 300ml Plastic Bottles Spray Bottles for Plants,Gardening, Cleaning, Hairdressing Essential Oil Air Freshening Mist Spray Bottle (pack of 1)",0.1550000000000003,11.151079136690672,4.661654135338356,3000.0,,1.008,3.99,Available (see Keepa data),1.0
B0FPXQLVBV,8720573855280,5702017817736.0,KNIFE SET ASSORTED 25 PIECES,"LEGO Star Wars 75426 SMART Play: Millennium Falcon Model - Compatible Interactive Toy Set incl. 4 SMART Tags and 4 Minifigures - Gift Idea for 9+ Year Old Boys, Girls & Adult Fans",56.74166666666666,4503.3068783068775,75.66396266251806,50.0,50.0,0.852,89.99,,5.0
B0FPXRW6LL,5056683919226,5702017817743.0,GLAMORIZE CLAW CLIP PEARLESCENT ASSORTED MEDIUM,"LEGO Star Wars 75427 SMART Play: Throne Room Duel & A-Wing - All-in-One Interactive Toy Set incl. 2 SMART Bricks, 5 Tags, 3 Minifigures & Charger - Gift Idea for 9+ Year Old Boys, Girls & Adult Fans",90.23833333333334,6491.966426858514,77.3526680477177,50.0,50.0,1.008,139.99,,6.0
B0FPXVHD1Y,8720573852180,5702017817682.0,FORK SET ASSORTED 25 PIECES,"LEGO Star Wars 75421 SMART Play: Darth Vader's TIE Fighter - All-in-One Interactive Toy Set incl. SMART Brick, Tag, Minifigure & Charger - Gift Idea for 8+ Year Old Boys, Girls & Adult Fans",36.37166666666667,2886.640211640212,72.75545924320721,300.0,300.0,0.852,59.99,,6.0
B0FPYB5C2J,5056683919202,5702017817712.0,BUTTERCUP BUTTERFLY HAIR CLIPS FRUIT DESIGNS ASSORTED SMALL PACK OF 4,"LEGO Star Wars 75424 SMART Play: AT-ST Attack on Endor - Compatible Interactive Toy Set incl. 2 SMART Tags and Wicket Minifigure - Gift Idea for 8+ Year Old Boys, Girls & Adult Fans",26.311666666666667,1892.9256594724216,70.18004000889087,100.0,100.0,1.008,44.99,,5.0
B0FTGD68DF,5056175972180,5056734417039.0,BLOOME DIFFFUSERS FRAGRANCE,"Bloome 2pk Assorted Vase Aroma Mist Diffuser Lavender 200ml - Decorative Perfect Electric Essential Oil Diffusers for Home, Office, & Bathroom, Long Lasting USB Plug In for Pet Odours & Room Freshness",2.567916666666667,184.742206235012,34.2769744160178,50.0,50.0,1.008,8.99,,1.0
B0FTGG38FS,5055257877023,5056734417077.0,GLAMORIZE HAIR DYE LIGHT BLONDE,"Glamorize 2pk 4 Step Advanced Creme Colour Light Blonde No. 3 – Long Lasting with Up to 100% Grey Coverage, No Bleach Permanent Hair Dye, Bright & Luminous Shade for Women",0.2616666666666667,17.44444444444445,5.242070116861436,100.0,100.0,1.14,5.99,,1.0
B0G931BVRP,5056239472335,780887116253.0,COTTON CARE KIT,"100 Pieces Disposable Iodine Cotton Swabs, Iodine Disinfected Cotton Swab, Individually Packaged Iodine Swabs for Wound Skin Cleansing",2.205000000000001,158.6330935251799,37.8540772532189,100.0,100.0,1.008,6.99,Available (see Keepa data),1.0
B0GFSJLCQ4,5056239433053,721545755780.0,PLUNGER WOODEN HANDLE,"Milk Frothing Pitcher, 350ml/12oz 304 Stainless Steel Coffee Jug with Measurement Marks & Latte Art Pen, Ideal for Crafting Latte Art, Cappuccino, Perfect for Home Baristas & Coffee Enthusiasts",1.2583333333333335,83.88888888888891,18.89862327909888,50.0,50.0,1.14,7.99,,1.0
B0GQ44JW2X,5056239471086,5068652503817.0,TOOTHBRUSHES KIDS 5PC,"Kids Toothbrushes, 5pcs Gentle Medium Soft Bristles, Manual Toothbrushes, Soft Toothbrush for Kids Adults, Travel Essentials for Kids Ages 3+ Years | Mixed Colour",0.9283333333333336,66.78657074340528,21.058601134215504,50.0,50.0,1.008,5.29,Available (see Keepa data),1.0
