RowID,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,Sales,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,is_exact_ean_strict,Brand_Match,title_match,Sup_Qty,Amz_Total,RSU,Pack_Mode,Pack_Verdict,Adjusted_Profit,Final_Category,Confidence,Filter_Reason,Key_Evidence
11,5414886287533.0,,B0002HZPUG,EASY STORAGE VACUUM BAG 70X100CM,John Deere Ride-on Tractor with Loader and Detachable Trailer,100,1.476,114.99,65.675,36.8960674157303,False,False,0.1935483870967742,1,1,1,1:1,1:1 Match,65.675,UNCERTAIN,0,-,Title analysis
12,5050565743725.0,,B0FGCSDMBW,CEMENT FLOWER POT WITH SUCCULENT CIRCLE 3 ASSORTED,"Sewing Machine for Beginners â€“ Portable Electric with 12 Built-In Stitch Patterns, 6 Presser Feet, Foot Pedal, 2-Speed Control, Fast Sewing for Clothes, Fabrics, DIY & Home Use",100,0.804,74.99,44.6016666666666,36.5587431693989,False,False,0.2631578947368421,1,1,1,1:1,1:1 Match,44.6016666666666,UNCERTAIN,0,-,Title analysis
13,5012904000425.0,659381335623.0,B0FLXV5TG6,CHEF AID MINI SPOUT BRUSH,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",50,1.032,81.98,51.4166666666666,36.4657210401891,False,False,0.10232558139534884,1,1,1,1:1,1:1 Match,51.4166666666666,UNCERTAIN,0,-,Title analysis
14,5055706641151.0,717710483480.0,B0FGHZB8FM,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",50,2.088,129.0,82.42,35.9912663755458,False,False,0.09691629955947137,1,1,1,1:1,1:1 Match,82.42,UNCERTAIN,0,-,Title analysis
15,5012904018475.0,,B0FLXV5TG6,TALA STAINLESS STEEL TOWEL HOLDER,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",50,1.164,81.98,54.1391666666666,35.617872807017505,False,False,0.17937219730941703,1,1,1,1:1,1:1 Match,54.1391666666666,UNCERTAIN,0,-,Shared: steel
16,5055297302240.0,717710483480.0,B0FGHZB8FM,PLUNGER BUFFALO MINI PLUNGER,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",50,2.196,129.0,82.33,34.5924369747899,False,False,0.1278538812785388,1,1,1,1:1,1:1 Match,82.33,UNCERTAIN,0,-,Title analysis
17,5030017011138.0,,B0FB36DTHD,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",300,2.616,144.99,90.505,33.1520146520146,False,False,0.09174311926605505,1,1,1,1:1,1:1 Match,90.505,UNCERTAIN,0,-,Title analysis
18,5012213580601.0,,B08KYJWQPV,TOM SMITH CHRISTMAS CARDS LUXURY SLIM FOLIAGE TEXT,Nilfisk Core 130 Bar High Pressure Washer with Power Control - Mini Power Washer for Patios and Car Cleaner (1500 W),50,2.016,104.67,69.50125,31.1664798206278,False,False,0.25301204819277107,1,1,1,1:1,1:1 Match,69.50125,UNCERTAIN,0,-,Title analysis
19,5013922057019.0,,B0DB7DGKFK,PARTY CRAZY BALLOONS ASSORTED 20,"KODAK 10.1 Inch WiFi Digital Picture Frame with 32GB Storage, Electronic Smart Digital Photo Frame 1280x800 IPS Touch Screen, Auto-Rotate, Share Moments Instantly Gifts for Women Mothers Day Christmas",100,0.852,60.34,39.0708333333333,31.0085978835978,False,False,0.04310344827586207,20,1,1,split,SPLIT - VERIFY,39.0708333333333,UNCERTAIN,0,-,Title analysis
20,5038673411309.0,,B0FM3GQ9VQ,PRIMA PET BALL LAUNCHER 50CM,"Pet Prime Automatic Ball Launcher for Large Dog, Rechargeable Cordless Interactive Ball Thrower Toy with Random Distance, Fetch Machine with 6 Durable 2.5"" E-TPU Balls & Dog Whistle",50,1.344,86.69,50.4016666666666,30.1806387225548,False,False,0.21052631578947367,1,1,1,1:1,1:1 Match,50.4016666666666,UNCERTAIN,0,-,"Shared: pet, ball, launcher"
