EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,EAN_match
5.01593E+12,7.42698E+12,B0BT54TFQT,MARVELLOUS MARBLES,GU Old Style 35mm uPVC Door Lock Centre Case Gearbox Single Spindle,https://www.efghousewares.co.uk/marvellous-marbles-120319,https://www.amazon.co.uk/dp/B0BT54TFQT,100,Available (see Keepa data),,9,2.352,1.96,24.99,3.25,3.02,0.55,4.165,1.756,-1.756,12.045,479.8804781,10.536,57.83913565,0
5.01593E+12,,B0DBCV69Q3,GLOW IN THE DARK SCIENCE,"75+ Science Experiments for Kids, Glow in the Dark Science Kit with Glowing Test Tube, Glowing Waves, Colorful Bouncy Balls, STEM Toys Christmas Birthday Gift for Girls and Boys",https://www.efghousewares.co.uk/glow-in-the-dark-science-122186,https://www.amazon.co.uk/dp/B0DBCV69Q3,400,,,,2.4,2,23.99,2.99875,2.41,0.55,3.998333333,1.59175,-1.59175,12.03291667,471.879085,9.5505,60.18966236,0
11179373116,,B0FDQL9JFL,UNIQUE CANDLE NUMBER W/DECOR 1,"BlueSwan Craft Kits for Kids, DIY Fabric Flowers Bouquets Toys, Flower Press Textile Kit, Poke-in Arts and Crafts Gifts for 4-12 Year Old Girls, ADHD, Parent-Child Educational Interactive STEM Toy",https://www.efghousewares.co.uk/unique-candle-number-w-decor-1,https://www.amazon.co.uk/dp/B0FDQL9JFL,500,,,,0.708,0.59,21.99,2.74875,2.41,0.55,3.665,1.25975,-1.25975,12.02625,1054.934211,7.5585,65.62755798,0
5.02618E+12,,B085LF2GYC,APOLLO SLATE PLACE MATS,Navaris Natural Slate Serving Plates - Set of 6 Slate Place Mat Serving Trays - Medium Rectangular Stone Table Mat Serving Platter Tiles - 30 x 20 cm,https://www.efghousewares.co.uk/apollo-slate-place-mats-9-2-23,https://www.amazon.co.uk/dp/B085LF2GYC,100,,,,5.232,4.36,27.29,3.41125,2.41,0.55,4.548333333,2.14625,-2.14625,12.01041667,244.6113374,12.8775,52.81238549,0
1117989692,,B085PQG8WV,UNIQUE BALLOON ASSORTED COLOUR MIX 50TH BIRTHDAY  10,"SEYMAC stock Case for iPad 9th/8th/7th Generation 10.2'', [Strong Magnetic] Auto Sleep/Wake Drop Proof Cover with [Multi-angle Stand] Pencil Holder, Card Slot for iPad 10.2 Inch 2021/2020/2019, Black",https://www.efghousewares.co.uk/unique-balloon-50th-birthday-10,https://www.amazon.co.uk/dp/B085PQG8WV,200,Available (see Keepa data),,4,1.056,0.88,23.39,3.9,2.16,0.55,3.898333333,1.498,-1.498,12.00166667,839.2773893,8.988,61.57332193,0
8.71125E+12,,B0773HXND3,DUNLOP CAR AIR FRESHENER HAPPY FACE 4ML ASSORTED,DONYER POWER Convector Radiator Heater 2000W Room Heating with Adjustable Thermostat,https://www.efghousewares.co.uk/dunlop-car-air-freshener-happy-face-4ml-assorted-116141,https://www.amazon.co.uk/dp/B0773HXND3,500,Available (see Keepa data),,2,1.14,0.95,27.99,4.2,5.66,0.55,4.665,2.272,-2.272,11.965,797.6666667,13.632,51.29689175,0
8.71125E+11,,B0773HXND3,DUNLOP CAR AIR FRESHENER 2.8ML ASSORTED,DONYER POWER Convector Radiator Heater 2000W Room Heating with Adjustable Thermostat,https://www.efghousewares.co.uk/dunlop-car-air-freshener-2-8ml-assorted-116140,https://www.amazon.co.uk/dp/B0773HXND3,500,Available (see Keepa data),,2,1.14,0.95,27.99,4.2,5.66,0.55,4.665,2.272,-2.272,11.965,797.6666667,13.632,51.29689175,0
5.01593E+12,,B0F272LDL9,TRANSPORTER SAFARI ROUND UP,"Bearbao Toddler Truck Toys for 3-8 Years Old Boys, Foldable 2 Layer Carrier Truck Transport Car Toys with 6 Metal Race Car with Light & Sounds, Toddler Toy Set Gifts for Boys Girls",https://www.efghousewares.co.uk/transporter-safari-round-up-122150,https://www.amazon.co.uk/dp/B0F272LDL9,100,,,,4.236,3.53,25.99,3.24875,2.41,0.55,4.331666667,1.94775,-1.94775,11.91958333,292.1466503,11.6865,55.0346287,0
8.71125E+12,,B0773HXND3,DUNLOP BIKE SPOKE WRENCH 10-15,DONYER POWER Convector Radiator Heater 2000W Room Heating with Adjustable Thermostat,https://www.efghousewares.co.uk/dunlop-bike-spoke-wrench-10-15-116185,https://www.amazon.co.uk/dp/B0773HXND3,500,Available (see Keepa data),,2,1.2,1,27.99,4.2,5.66,0.55,4.665,2.282,-2.282,11.915,768.7096774,13.692,51.08252947,0
5.0552E+12,,B0F32PTRZP,POWERPLUS BLK SLIMLINE PHONE,"Uvital Corded Landline Phones for Elderly, Big Button Telephone for Home/Hotel/Office, Desk Telephone with One-Touch Speed Dialling, Hands-Free, Volume Control and Redial",https://www.efghousewares.co.uk/powerplus-blk-slimline-phone,https://www.amazon.co.uk/dp/B0F32PTRZP,50,Available (see Keepa data),,1,7.86,6.55,28.99,2.03,3.13,0.55,4.831666667,2.452,-2.452,11.89833333,167.5821596,14.712,49.25146602,0
