RowID,Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason,IsUnrelated
46,UNRELATED,15,BETTINA SPONGE CELLULOSE 3 SCOURER,OLEVS Mens Watches Designer Calendar Dress Metal Stainless Steel Quartz Analog Waterproof Luminous Wrist Watch Gent Large,5052578022309,nan,B0BPLGMW1B,0.852,42.77,25.1916666666666,0,100,1:1,25.19,,Insufficient Evidence,True
47,UNRELATED,15,DIWALI SOUP PLATE 20CM,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",26102289587,4820184122314,B0D9W1S3Y5,1.548,60.8,36.5566666666666,0,200,1:1,36.56,,Insufficient Evidence,True
48,UNRELATED,15,DLUX PRO KLEEN 2 IN 1 MICROFIBRE FLAT MOP WITH HEAD CHENILLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055706641137,717710483480,B0FGHZB8FM,4.296,129.0,80.58,0,50,1:1,80.58,,Insufficient Evidence,True
49,UNRELATED,15,OPAL SQUARE SOUP PLATE WHITE,"George Foreman Immersa Medium Electric Grill [Removable Control Panel allows grill machine to be fully washable & dishwasher safe, Energy saving, Healthy, Toastie, Panini, Hot plate, BBQ] Black 28310",6260573000843,5038061143195,B0BGK57HPC,1.02,49.5,27.0999999999999,0,400,1:1,27.1,,Insufficient Evidence,True
50,UNRELATED,15,ABBEY HAND SPRAY 750ML,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",5013174024821,705736243089,B0DL47ZJR2,1.236,50.99,30.1616666666666,0,100,1:1,30.16,,Low Text Similarity,True
51,UNRELATED,10,BETTINA SCOURER 6 MIXED SCOURERS,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,5052579034968,nan,B07YWB6QGR,0.804,38.77,23.1983333333333,0,50,1:1,23.2,,Insufficient Evidence,True
52,UNRELATED,15,WET FLOOR SIGNS ABBEY,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5013174012392,717710483480,B0FGHZB8FM,4.44,129.0,80.46,0,50,1:1,80.46,,Low Text Similarity,True
53,UNRELATED,15,FAIRY WASHING UP LIQUID MAX POWER ORIGINAL 440ML PK8,"SIEMENS EQ6 plus S300, Fully Automatic Bean to Cup Espresso Coffee Machine with Cappuccinatore milk system, 11 beverages, Ceramic Grinder, Large Touchscreen Display, TE653M11GB, Titanium",8006540937594,4242003943359,B0BXLRLC9T,14.772,381.65,241.011666666666,0,200,1:1,241.01,,Insufficient Evidence,True
54,UNRELATED,15,DISHWASH BRUSH 3 ASSORTED COLOUR,OLEVS Mens Wrist Watches Ultra Thin 6.5mm Minimalist Business Dress Waterproof & Date & Leather Strap Slim Watches for Men,8721037140904,723990880789,B07VHG2VGZ,0.852,38.77,23.1583333333333,0,50,1:1,23.16,,Insufficient Evidence,True
55,UNRELATED,15,PAINT FACTORY COLOUR IT SPRAY FLAT MATT WHITE 250ML,"Remote Control Car Building Set, 1:14 Technical Sports Racing Car Building Kit, with Motors and Rechargeable Battery, Toys Gift for Adults & Boys Age 12+ (1314 PCS)",5055319528559,nan,B0CNRQBMP8,1.476,54.99,32.335,0,200,1:1,32.34,,Insufficient Evidence,True
56,UNRELATED,15,MINKY FLAT MOP,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5010353324291,717710483480,B0FGHZB8FM,4.704,129.0,80.24,0,50,1:1,80.24,,Low Text Similarity,True
57,UNRELATED,15,ASHLEY 2 PCE SHOESHINE SET,"Stone & Clark 12PC Shoe Polish & Care Kit, Leather Shoe Shine Kit with Brown Wax, Shoe Brushes for Polishing",5017403134084,nan,B076LL6Z8D,1.008,39.99,24.52625,0,100,Split Candidate,24.53,,Insufficient Evidence,True
