category,is_exact_ean,Pack_Verdict,Adjusted_Profit,NetProfit,ROI,Qty_Ratio,Sup_Qty,Amz_Qty,title_match,sales,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,manual_group,manual_pack_count_supplier,manual_pack_count_amazon,manual_size_tokens_supplier,manual_size_tokens_amazon,ip_risk
UNCERTAIN,False,1:1 Match,20.11625,20.11625,1297.82258064516,1.0,1.0,1.0,0.08333333333333333,100,ECO BAMBOO DISH BRUSH ROUND,"Wireless Gaming Headset for PS5, PS4, PC, Switch, Mac, 2.4 GHz Wireless & 5.4 Bluetooth Gaming Headphones with Mic ENC Noise Cancelling, 50mm Drivers, 3D Stereo Sound, 50H Battery, Foldable",5030481160050,-,B0FRFRH3SG,1.2,33.99,,,,,50mm,False
UNCERTAIN,False,1:1 Match,22.6383333333333,22.6383333333333,1271.81647940074,1.0,1.0,1.0,0.2535211267605634,50,BETTINA MICROFIBRE FLICK DUSTER,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,5052578045209,-,B07YWB6QGR,1.476,38.77,,,,,,False
UNCERTAIN,False,BUNDLE (6x) - OK,11.141666666666602,14.8616666666666,1270.22792022792,6.0,1.0,6.0,0.22772277227722773,300,PORCELAIN MUG 12OZ COLOURED,"vancasso SIMI Mugs Set, 12oz/360ml Porcelain Coffee Mug Set of 6, Bohemian Style Tea and Coffee Cups with Handle, Microwave & Dishwasher Safe, Suitable for All Kinds of Drinks",742288768073,-,B0FN3TVZVL,0.744,30.59,,,6.0,,360ml,False
UNCERTAIN,False,1:1 Match,21.965,21.965,1233.98876404494,1.0,1.0,1.0,0.14432989690721648,50,FESTIVE MAGIC PASTEL SANTA WATERBAALL 45MM,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",9333527745026,-,B0CQP7TT72,1.476,39.99,,,,45mm,8in,False
UNCERTAIN,False,BUNDLE (6x) - OK,10.281666666666599,14.0016666666666,1196.72364672364,6.0,1.0,6.0,0.20833333333333334,100,PPS WINE DRINK 5 GOBLETS,"Kingrol 6 Pack 10oz Wine Glasses Goblets, 300ml Vintage Water Glasses, Romantic Mixed Drink Glasses for Party, Daily Use",5030481960147,-,B095RYQRP3,0.744,29.99,,,6.0,,300ml,False
UNCERTAIN,False,1:1 Match,16.2216666666666,16.2216666666666,1192.76960784313,1.0,1.0,1.0,0.19653179190751446,700,COUNTRY CLUB 3 MICROFIBRE DUSTERS YELLOW,"Tracer ProScribe Tool with Deep Hole Pencil, Lead Holster and Carry Case (DIY, Woodworking, and Carpentry Multi-Function Scribe Tool)",5023674207402,5060668270882,B09BNJMXKQ,0.972,29.45,,,,,,False
UNCERTAIN,False,1:1 Match,18.485,18.485,1192.58064516129,1.0,1.0,1.0,0.06635071090047394,100,ECO BAMBOO SCRUB BRUSH,"Wireless Gaming Headset for PS5, PS4, PC, Switch, Mac, 2.4 GHz Wireless & 5.4 Bluetooth Gaming Headphones with Mic ENC Noise Cancelling, 50mm Drivers, 3D Stereo Sound, 50H Battery, Foldable",50304811690036,657381061429,B0FRFRH3SG,1.2,33.99,,,,,50mm,False
UNCERTAIN,False,1:1 Match,18.485,18.485,1192.58064516129,1.0,1.0,1.0,0.07207207207207207,100,ECO BAMBOO DISH BRUSH RECTANGULAR,"Wireless Gaming Headset for PS5, PS4, PC, Switch, Mac, 2.4 GHz Wireless & 5.4 Bluetooth Gaming Headphones with Mic ENC Noise Cancelling, 50mm Drivers, 3D Stereo Sound, 50H Battery, Foldable",50304811690074,657381061429,B0FRFRH3SG,1.2,33.99,,,,,50mm,False
UNCERTAIN,False,1:1 Match,16.4816666666666,16.4816666666666,1185.7314148681,1.0,1.0,1.0,0.1888412017167382,800,FOREVER BEAUTIFUL DETANGLING BRUSH,"SYLSTAR 30W Rechargeable Work Light, 3000 Lumen Magnetic Work Light Battery Powered, Waterproof Portable Cordless Job Site Lighting for Construction Site, Workshop, Garage, Camping, and Car Repairing",5056170351324,729920105601,B0BKGQLN8Z,1.008,31.19,,,,,30w,False
UNCERTAIN,False,1:1 Match,21.885,21.885,1176.6129032258,1.0,1.0,1.0,0.10344827586206896,50,DIWALI BOWL BLACK 12CM,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",883314714531,-,B0CQP7TT72,1.572,39.99,,,,12cm,8in,False
UNCERTAIN,False,1:1 Match,13.6616666666666,13.6616666666666,1167.66381766381,1.0,1.0,1.0,0.25,500,SCOURER 8PC METAL GALVANISED,DONYER POWER Convector Radiator Heater 2000W Room Heating with Adjustable Thermostat,5056557829842,-,B0773HXND3,0.744,29.99,,,,,2000w,False
UNCERTAIN,False,1:1 Match,62.99625,62.99625,1162.29243542435,1.0,1.0,1.0,0.07608695652173914,50,BBQ TONGS,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",8720573453752,-,B0DN6BWS36,5.844,99.99,,,,,,False
UNCERTAIN,False,1:1 Match,16.0262499999999,16.0262499999999,1152.96762589928,1.0,1.0,1.0,0.17475728155339806,500,BBQ SKEWER 4PC 24CM,DONYER POWER Convector Radiator Heater 2000W Room Heating with Adjustable Thermostat,8711252456522,-,B0773HXND3,1.008,27.99,,,,24cm,2000w,False
UNCERTAIN,False,1:1 Match,14.6616666666666,14.6616666666666,1145.44270833333,1.0,1.0,1.0,0.14545454545454545,600,PRIMA PLUNGER WOODEN LARGE,Spear & Jackson 8290RS Razorsharp Advance Heavy Duty Telescopic Ratchet Anvil Lopper,5038673231037,5012095076711,B004N9BSQE,0.876,30.89,,,,,,False
UNCERTAIN,False,1:1 Match,12.6116666666666,12.6116666666666,1136.18618618618,1.0,1.0,1.0,0.15458937198067632,50,ADORN DEEP BOWL 5INCH,"LIFVER Deep Soup Bowls Porcelain 20oz, 600 ml Large Cereal Bowl Ceramic, Serving Bowls for Tapas, Dessert, Curry, Ramen, Snack, Breakfast, Dishwasher, Microwave & Oven Safe - Multicolour",6923456816268,753936290037,B07MMYFSNY,0.672,26.99,,,,5inch,600ml,False
UNCERTAIN,False,1:1 Match,13.6416666666666,13.6416666666666,1118.1693989071,1.0,1.0,1.0,0.2222222222222222,500,URBAN LIVING HAND BRUSH ASSORTED,"Bearbao Toddler Boy Toys for 2 3 4 5 6 Years Old Boys, 65 Inches Race Track for Boys Kids Die-Cast Transport Truck Car Toy, Toddler Car Toys Set for Kids Boy",5414886542045,-,B0D8WQGL78,0.804,26.99,,,,,,False
UNCERTAIN,False,BUNDLE (2x) - OK,21.7036666666666,23.6116666666666,1103.34890965732,2.0,1.0,2.0,0.2857142857142857,50,"IMPERIAL DEEP DINNER PLATE BLUE 10""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",8694169938513,745606660523,B07SG6C3BR,1.908,45.23,,,2.0,,26.5cm,False
