category,Pack_Analysis_Verdict,Adjusted_Profit,Adjusted_ROI,Qty_Ratio,Sup_Qty,Amz_Qty,sales_numeric,SupplierTitle,AmazonTitle,EAN,ASIN,NetProfit,ROI,SupplierPrice_incVAT,SellingPrice_incVAT
UNCERTAIN,MATCH (1:1),135.23,3295.0779727095514,1.0,1.0,1.0,0,Juliet Candlestick- Electroplate Silver Glass (13cm),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5056519255870,B07SXDPVZZ,135.23,3406.2972292191434,4.104,199.92
UNCERTAIN,MATCH (1:1),135.09999999999997,3171.361502347417,1.0,1.0,1.0,0,Orange Pembroke Carnation Mixed Bunch,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519269716,B07SWB992S,135.09999999999997,3295.121951219512,4.26,199.92
UNCERTAIN,MATCH (1:1),135.08999999999995,3162.219101123594,1.0,1.0,1.0,0,Thea Candlestick - Electroplate Silver Glass (11cm),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5056519256150,B07SXDPVZZ,135.08999999999995,3286.8613138686123,4.272,199.92
UNCERTAIN,MATCH (1:1),135.08999999999995,3162.219101123594,1.0,1.0,1.0,0,Thea Candlestick - Electroplate Gold Glass (11cm),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5056519256167,B07SXDPVZZ,135.08999999999995,3286.8613138686123,4.272,199.92
UNCERTAIN,MATCH (1:1),133.99999999999997,2401.433691756272,1.0,1.0,1.0,0,Amaya Candlestick- Electroplate Silver Glass (20cm),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5056519256075,B07SXDPVZZ,133.99999999999997,2576.923076923076,5.58,199.92
UNCERTAIN,MATCH (1:1),132.24291666666664,4425.800423917893,1.0,1.0,1.0,0,Celestia Candlestick-Electroplate Gold Glass (10cm),WOLVERINE 18-Sheet 60 Mins Running Time Cross Cut High Security Level P-4 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office with 22-Litre Pullout Waste Bin SD9113(Black),5056519255917,B085HN95YZ,132.24291666666664,4350.095942982455,2.9880000000000004,194.39
UNCERTAIN,MATCH (1:1),131.74999999999997,1591.1835748792266,1.0,1.0,1.0,0,Tulip Covent Garden Candle Stick Raw Bright Gold (H21cm),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519254576,B07SWB992S,131.74999999999997,1768.4563758389256,8.280000000000001,199.92
UNCERTAIN,MATCH (1:1),129.615,12415.229885057472,1.0,1.0,1.0,0,Red Candy Stripe Hand Tied Bag (19x25cm),ELEGANT 1800 x 480 mm Modern Vertical Column Designer Radiator Anthracite Oval Double Panel Radiator Heater,5056519277247,B01F6YU69O,129.615,9127.81690140845,1.044,216.99
UNCERTAIN,MATCH (1:1),129.36999999999998,1161.7277298850574,1.0,1.0,1.0,0,Manor Covent Garden Candle Stick  Raw Silver (H30cm),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5056519254651,B07SXDPVZZ,129.36999999999998,1316.0732451678532,11.136,199.92
UNCERTAIN,MATCH (1:1),128.99999999999997,5972.222222222221,1.0,1.0,1.0,0,Fresh Olive Bolsius Pillar Candle (150 x 58mm),Fluke T6-600 Electrical Tester,8717847202857,B074S1TQRY,128.99999999999997,5489.361702127659,2.16,192.0
UNCERTAIN,PROFITABLE SPLIT (1/30.0),127.65500000000004,27751.08695652175,0.03333333333333333,30.0,1.0,0,Super Pearlised Cream Living Vase (X30),"Masjidal 10"" Digital Azan Clock, WiFi, Dynamic Touchscreen, Worldwide Prayer Times, Full Quran Player, Islamic Art, Streaming Halal Muslim Content Including Duas, Dhikr, Hadith, Verse of the Day, Blk",5055579196611,B07ZXGJ95X,114.31500000000004,948.6721991701248,13.8,189.99
UNCERTAIN,MATCH (1:1),127.1,2862.6126126126123,1.0,1.0,1.0,0,Soft Touch Blue Bubble Embossed Micro Wrap,Fluke T6-600 Electrical Tester,5023797300592,B074S1TQRY,127.1,2990.5882352941176,4.44,192.0
UNCERTAIN,PROFITABLE BUNDLE (2.0x),126.49458333333337,1988.9085429769395,2.0,1.0,2.0,0,Essential Dark Pink Apple Tree Blossom,Apple Tree ‘Scrumptious’ | Self-Fertile Bare Root Dessert Apple Tree | Sweet Red Eating Apples | Ideal for UK Gardens | Frost-Resistant Blossom - (M26) 12 Litre Pots x2 by Thompson & Morgan,5056519267569,B0FL7JV332,129.67458333333337,4052.330729166667,3.18,190.99
UNCERTAIN,PROFITABLE SPLIT (1/6.0),125.81500000000004,15766.290726817047,0.16666666666666666,6.0,1.0,0,Age 6 Unisex Birthday Latex Balloons (6 Pks Of 8 Balloons),"Masjidal 10"" Digital Azan Clock, WiFi, Dynamic Touchscreen, Worldwide Prayer Times, Full Quran Player, Islamic Art, Streaming Halal Muslim Content Including Duas, Dhikr, Hadith, Verse of the Day, Blk",5055579165136,B07ZXGJ95X,121.82500000000005,2683.370044052864,4.788,189.99
MODERATE_CONFIDENCE,MATCH (1:1),124.20500000000004,1648.155520169852,1.0,1.0,1.0,0,Natural Wired Ribbon with Red and White Poinsettia (63mm x 10 yards),ELEGANT 1800 x 480 mm Modern Vertical Column Designer Radiator Anthracite Oval Double Panel Radiator Heater,5056519273430,B01F6YU69O,124.20500000000004,1818.5212298682288,7.536,216.99
UNCERTAIN,MATCH (1:1),122.77500000000002,3365.542763157895,1.0,1.0,1.0,0,14inch Parasaurolophus Dinosaur,"Masjidal 10"" Digital Azan Clock, WiFi, Dynamic Touchscreen, Worldwide Prayer Times, Full Quran Player, Islamic Art, Streaming Halal Muslim Content Including Duas, Dhikr, Hadith, Verse of the Day, Blk",5055579119498,B07ZXGJ95X,122.77500000000002,3419.9164345403906,3.648,189.99
UNCERTAIN,MATCH (1:1),120.07999999999998,20847.22222222222,1.0,1.0,1.0,0,Traditional Santa Large  Bag,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5056022178529,B07SXDPVZZ,120.07999999999998,11658.252427184463,0.576,199.92
UNCERTAIN,MATCH (1:1),119.79999999999998,13135.964912280699,1.0,1.0,1.0,0,Christmas Bus Medium Bag,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5056022177829,B07SXDPVZZ,119.79999999999998,9145.03816793893,0.912,199.92
UNCERTAIN,MATCH (1:1),119.78,12797.008547008547,1.0,1.0,1.0,0,Christmas & Poinsettia Gift Bag (Medium),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5056519286874,B07SXDPVZZ,119.78,9006.015037593985,0.936,199.92
UNCERTAIN,MATCH (1:1),119.78,12797.008547008547,1.0,1.0,1.0,0,Snowy House Scene Gift Bag (Medium),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5056519286720,B07SXDPVZZ,119.78,9006.015037593985,0.936,199.92
UNCERTAIN,PROFITABLE SPLIT (1/4.0),119.51466666666668,69891.61793372322,0.25,4.0,1.0,0,Money Wallets Santa & Friends (4 Pack),WOLVERINE 18-Sheet 60 Mins Running Time Cross Cut High Security Level P-4 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office with 22-Litre Pullout Waste Bin SD9113(Black),5056022179519,B085HN95YZ,119.00166666666668,10625.148809523813,0.6839999999999999,194.39
UNCERTAIN,PROFITABLE SPLIT (1/3.0),119.362,4981.719532554257,0.3333333333333333,3.0,1.0,0,Kraft Symphony Hat Boxes (Set of 3),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5055977392608,B07SXDPVZZ,114.57,1751.834862385321,7.188000000000001,199.92
UNCERTAIN,MATCH (1:1),119.17,8207.300275482094,1.0,1.0,1.0,0,Light Blue Wild Cornflower Spray (63cm),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519298952,B07SWB992S,119.17,6771.022727272727,1.452,199.92
UNCERTAIN,MATCH (1:1),119.12999999999998,7941.999999999999,1.0,1.0,1.0,0,Santa Christmas Mug (11oz),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519204212,B07SWB992S,119.12999999999998,6618.333333333332,1.5,199.92
