SupplierTitle,AmazonTitle,ASIN,EAN_fixed,match_method,Tier,confidence_level,bought_in_past_month,amazon_sales_badge,NetProfit,ROI,SupplierPrice_exVAT,SellingPrice_incVAT,Bucket,Unit_Qty_Flag,Unit_Qty_Note,SupplierURL,AmazonURL,fba_seller_count,total_offer_count
BRIGHT & HOMELY GARDENING GLOVES RUBBER GRIP LARGE,BBliss 3 X Gardening Rubber Gloves Extra Tough & Non-Slip Grip for Outdoor Cleaning | Roll-top Cuffs Cotton-lined & Double Layered | Large Black,B0CS66MGFD,5050800000000,title,T2_TITLE_MATCH,medium,100,100,4.181666667,380.1515152,0.55,11.99,A,MATCH,,https://www.efghousewares.co.uk/bright-homely-gardening-gloves-rubber-grip-large-121537,https://www.amazon.co.uk/dp/B0CS66MGFD,Available (see Keepa data),3
THL STORAGE BOX RECT 670ML,"Citylife 6Packs 5L Plastic Storage Boxes with Lids, Clear Stackable Storage Box with Handle, Collection Boxes for Organizing Toys, Snacks, Tools, 26 * 18 * 15CM",B0D95WLC48,8682660000000,title,T2_TITLE_MATCH,medium,50,50,8.34,600,0.84,21.78,A,MATCH,,https://www.efghousewares.co.uk/thl-storage-box-rect-670ml,https://www.amazon.co.uk/dp/B0D95WLC48,Available (see Keepa data),1
THL BROOM & HANDLE SOFT ZP156,Soft Broom Indoor Sweeping Broom Brush with Stainless Steel Handle - The Perfect Indoor Sweeping Kitchen Floor Brush for Your House - The Long Handled Sweeper (Green),B07H5HVHNL,8697410000000,title,T2_TITLE_MATCH,medium,100,100,4.165,226.3586957,1.29,12.99,A,MATCH,,https://www.efghousewares.co.uk/thl-broom-handle-soft-zp156,https://www.amazon.co.uk/dp/B07H5HVHNL,Available (see Keepa data),2
MINKY ALL PURPOSE CLOTH PK10,Minky Anti-Bacterial Cleaing Pad | 3 Pack | Reusable Microfibre Cloth | Minky Pad | Kitchen Cleaner | Dual Sided Sponge | Non Scratch Sponge | Cleaning Products | Cleaning Supplies | Sponges,B07QQBHTT4,5010350000000,title,T2_TITLE_MATCH,medium,700,700,0.595,33.61581921,1.22,6.75,A,MATCH,,https://www.efghousewares.co.uk/minky-all-purpose-cloth-pk10,https://www.amazon.co.uk/dp/B07QQBHTT4,Available (see Keepa data),19
SPECIAL OCCASIONS RAINBOW COLOUR HAIR SPRAY 200ML,6 * 200ml Cans Rainbow Colour Hair Spray - Perfect for fun and Special Occasions -Vibrant Cans of Rainbow Colour Hair Spray,B0CV12HTJ9,5055320000000,report_reconstruction,T2_TITLE_MATCH,high,100,100,4.135,275.6666667,0.95,12.99,A,MATCH,,https://www.efghousewares.co.uk/special-occasions-rainbow-colour-hair-spray-200ml-111519,https://www.amazon.co.uk/dp/B0CV12HTJ9,,2
BBQ KITCHEN GLOVE 32CM 3ASS,"BBQ Gloves, 1472°F Heat Resistant Gloves Fireproof Mitts，Grilling Glove Silicone Non-Slip Washable Oven Glove, Kitchen Glove for Barbecue, Grilling, Cooking, Baking, Camping, Smoker (Black)",B09WR2TRXL,8720570000000,title,T2_TITLE_MATCH,medium,100,100,4.131666667,123.7025948,2.79,14.99,A,MATCH,,https://www.efghousewares.co.uk/bbq-kitchen-glove-32cm-3ass-108055,https://www.amazon.co.uk/dp/B09WR2TRXL,Available (see Keepa data),1
WOODEN TRAIN AND CARRIAGE,16 PCS Wooden Train Set Magnetic Train Set for Girls and Boys,B09NNFKMZQ,5012870000000,title,T2_TITLE_MATCH,medium,50,50,8.246666667,191.7829457,3.75,22.94,A,MATCH,,https://www.efghousewares.co.uk/wooden-train-and-carriage,https://www.amazon.co.uk/dp/B09NNFKMZQ,Available (see Keepa data),1
SHAKILA SALAD BOWL LARGE,"CSYY Large Salad Bowl, 1800ml Porcelain Fruit Serving Bowls, Stylish Blue Bowl Handmade Round Soup Bowl,Bowl for Soup,Salad,Noodle 21cm",B08MJ8HT82,6260350000000,title,T2_TITLE_MATCH,medium,100,100,4.115,110.026738,3.19,15.99,A,MATCH,,https://www.efghousewares.co.uk/shakila-salad-bowl-large-123995,https://www.amazon.co.uk/dp/B08MJ8HT82,Available (see Keepa data),1
SIL JAR JUTE STRING 30M,"tenn well 5mm Thick Jute Twine String, 30m Natural Jute Garden Rope for Gardening, Cat Scratcher, Gift Wrapping and Crafts Decoration (Brown)",B08C9CJVCB,5024420000000,report_reconstruction,T2_TITLE_MATCH,high,300,300,1.368333333,98.441247,0.84,7.99,A,MATCH,,https://www.efghousewares.co.uk/sil-jar-jute-string-30m-114781,https://www.amazon.co.uk/dp/B08C9CJVCB,Available (see Keepa data),1
TALA FISH SCALER,"Fish Scaler Stainless Steel, Premium Fish Scale Remover Integrated Casting, Heavy Duty Wedge-Shaped Sawtooth Fish Descaler Tool, Ergonomic Handle Fish Scaler Remover No Mess, Fish Scaler Tool",B0CH9BL1B3,5012900000000,title,T2_TITLE_MATCH,medium,50,50,8.158333333,298.8400488,2.18,19.99,A,MATCH,,https://www.efghousewares.co.uk/tala-fish-scaler,https://www.amazon.co.uk/dp/B0CH9BL1B3,Available (see Keepa data),1
FLIP STRAW STAINLESS STEEL DRINKING CUP 3 ASSORTED COLOURS 600ML,"KAHEIGN 6Pcs Stainless Steel Cups with Lids & Straws, 360ml Unbreakable Kids Tumbler Reusable Drinking Cup Travel Mug Iced Coffee Cup with Removable Silicone Sleeves for Adults Kids Cold Hot Drinks",B0DTDQ15L1,5050570000000,report_reconstruction,T2_TITLE_MATCH,high,100,100,4.070583333,73.29102149,5.004,16.99,A,MATCH,,https://www.efghousewares.co.uk/flip-straw-stainless-steel-drinking-cup-3-assorted-colours-600ml-120182,https://www.amazon.co.uk/dp/B0DTDQ15L1,,
