SupplierTitle,AmazonTitle,ASIN,EAN_fixed,match_method,Tier,confidence_level,bought_in_past_month,amazon_sales_badge,NetProfit,ROI,SupplierPrice_exVAT,SellingPrice_incVAT,Bucket,Unit_Qty_Flag,Unit_Qty_Note,SupplierURL,AmazonURL,fba_seller_count,total_offer_count
BRUMMER WOODFILLER NATURAL OAK 250G,Brummer Wood Filler Natural Oak 250g – 2 Sizes & Assorted Shades | Ideal for DIY Wood Repairs & Restorations,B0CMX1BPMP,5010880000000,EAN,T1_EAN_EXACT,high,100,100,-1.251666667,-29.59022853,3.68,7.99,C,MATCH,,https://www.efghousewares.co.uk/brummer-woodfiller-natural-oak-250g-117912,https://www.amazon.co.uk/dp/B0CMX1BPMP,,10
RUSTINS QD OUTDOOR CLEAR VARNISH 250ML,Rustins Quick Dry Outdoor Clear Varnish 250ml Satin,B002ATNT8E,5015330000000,EAN,T1_EAN_EXACT,high,100,100,-1.253333333,-24.96679947,4.47,9.2,C,MATCH,,https://www.efghousewares.co.uk/rustins-qd-outdoor-clear-varnish-250ml,https://www.amazon.co.uk/dp/B002ATNT8E,,19
ELBOW GREASE ALL-PURPOSE FLOOR CLEANER LEMON 1L,"Elbow Grease Squirt & Mop Floor Cleaner | Direct to Floor Cleaning | Suitable for Tiles, Laminate & Vinyl Flooring (Lemon, 1L)",B0FKTRNC29,5053250000000,EAN,T1_EAN_EXACT,high,200,200,-1.25375,-75.0748503,1.12,3.99,C,MATCH,,https://www.efghousewares.co.uk/elbow-grease-all-purpose-floor-cleaner-lemon-1l-120009,https://www.amazon.co.uk/dp/B0FKTRNC29,,
DAEWOO SIENNA JUG KETTLE 1.7L 3KW TAUPE,"Daewoo Sienna 1.7L Rapid Boil Kettle, 3KW Cordless Electric Kettle, 360° Base, Auto Shut Off, Taupe Finish, Home, Office, Student Kitchen",B0B82QTXPG,5025000000000,EAN,T1_EAN_EXACT,high,100,100,-1.259583333,-6.739343678,18.14,28.01,C,MATCH,,https://www.efghousewares.co.uk/daewoo-sienna-jug-kettle-1-7l-3kw-taupe-122345,https://www.amazon.co.uk/dp/B0B82QTXPG,,
RUSTINS MDF WHITE PRIMER 500ML,"RUSTINS Quick Drying MDF White Primer 500ml-Quick-Drying, Smooth Finish Primer for Bare MDF Wood and Interior Surfaces; Excellent Adhesion; Seals and Prepares for Painting",B08WCC1KMM,5015330000000,EAN,T1_EAN_EXACT,high,200,200,-1.26125,-18.04363376,6.44,11.49,C,MATCH,,https://www.efghousewares.co.uk/rustins-mdf-white-primer-500ml,https://www.amazon.co.uk/dp/B08WCC1KMM,,
METAL BUCKET WITH HANDLE BROWN  FZ1000970,"25 LITRE PLASTIC BUCKET WITH LID & METAL HANDLE ARM, DURABLE, GLOSSED, HARD WEARING BUCKET",B00ECVX1NQ,8720570000000,title,T2_TITLE_MATCH,medium,700,700,-1.261666667,-32.77056277,3.3,12.79,C,MATCH,,https://www.efghousewares.co.uk/metal-bucket-with-handle-brown-fz1000970-111075,https://www.amazon.co.uk/dp/B00ECVX1NQ,,6
BRUMMER WOODFILLER BLACK 250G,Brummer Wood Filler Black 250g – 2 Sizes & Assorted Shades | Ideal for DIY Wood Repairs & Restorations,B0CMX1M8VG,5010880000000,EAN,T1_EAN_EXACT,high,200,200,-1.261666667,-29.82663515,3.68,7.99,C,MATCH,,https://www.efghousewares.co.uk/brummer-woodfiller-black-250g-117885,https://www.amazon.co.uk/dp/B0CMX1M8VG,,7
BRUMMER WOODFILLER MEDIUM OAK 250G,Brummer Wood Filler Medium Oak 250g– 2 Sizes & Assorted Shades | Ideal for DIY Wood Repairs & Restorations,B0CMWZCQLM,5010880000000,EAN,T1_EAN_EXACT,high,100,100,-1.261666667,-29.82663515,3.68,7.99,C,MATCH,,https://www.efghousewares.co.uk/brummer-woodfiller-medium-oak-250g-117913,https://www.amazon.co.uk/dp/B0CMWZCQLM,,7
LORD SHERATON CARETAKER POLISH 300ML,Lord Sheraton Caretaker Furniture Polish 300ml,B006KSW56I,5000330000000,EAN,T1_EAN_EXACT,high,100,100,-1.261666667,-42.05555556,2.45,6.37,C,MATCH,,https://www.efghousewares.co.uk/lord-sheraton-caretaker-polish-300ml,https://www.amazon.co.uk/dp/B006KSW56I,Available (see Keepa data),24
TALA BAMBOO 50 SKEWERS 18CM,"Tala Bamboo Skewers, 25.5cm Long",B00KOK1P50,5012900000000,title,T2_TITLE_MATCH,medium,200,200,-1.267916667,-84.52777778,0.95,3.73,C,MATCH,,https://www.efghousewares.co.uk/tala-bamboo-50-skewers-18cm,https://www.amazon.co.uk/dp/B00KOK1P50,,
