RowID,ASIN,SupplierEAN,AmazonEAN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month
698,B003XKPUSQ,5032759031078,5032759031078,AMTECH LED MINI TORCH,Amtech S1532 9 LED mini Torch,https://www.efghousewares.co.uk/amtech-led-mini-torch,https://www.amazon.co.uk/dp/B003XKPUSQ,1.716,7.99,2.34833333333333,118.602693602693,200
709,B07F8VJHWF,5060605732022,5019041167141,MENS WATERPROOF FLEECE TRAPPER HAT WITH MASK BLACK,HEAT HOLDERS - Mens Waterproof Fleece Lined Winter Thermal Trooper Trapper Hat with Ear Flaps,https://www.efghousewares.co.uk/mens-waterproof-fleece-trapper-hat-with-mask-black-123648,https://www.amazon.co.uk/dp/B07F8VJHWF,6.07199999999999,21.98,6.44666666666666,114.913844325609,100
757,B08FBJ59DR,5023139861019,,BACOFOIL ZIPPER BAGS ALL PURPOSE 15 PACK SMALL 1L,Bacofoil 3 x Zipper Small All Purpose Bags Food Freezing Storage Bags (45 Bags),https://www.efghousewares.co.uk/bacofoil-zipper-bags-all-purpose-15-pack-small-1l-108887,https://www.amazon.co.uk/dp/B08FBJ59DR,1.944,9.96,2.17,100.0,500
764,B0791ZQMMZ,5014353093294,,KILROCK DAMP CLEAR MOULD REMOVER ACTIVE FOAMING ACTION 500ML(SOLD EACH),Kilrock 3 X Blast Away Mould Spray 500ml,https://www.efghousewares.co.uk/kilrock-damp-clear-mould-remover-116950,https://www.amazon.co.uk/dp/B0791ZQMMZ,2.136,9.94,2.30083333333333,98.7482117310443,200
772,B07STZLCM6,5411183078956,,SOUDAL EXPANDING FOAM HANDHELD 750ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Spray with Nozzle & Gloves (3),https://www.efghousewares.co.uk/soudal-expanding-foam-750ml-handheld-103655,https://www.amazon.co.uk/dp/B07STZLCM6,4.56,15.55,4.25458333333333,97.8065134099617,400
778,B08CY3F21W,5015302109141,5015302106799,FIRST STEPS  FOOD STORAGE POTS WITH SPOON 4PC ASSORTED,First Steps 8 Baby Food Freezer Cubes Tray 70ml POTS BPA Free,https://www.efghousewares.co.uk/first-steps-food-storage-pots-with-spoon-4pc-asorted-113736,https://www.amazon.co.uk/dp/B08CY3F21W,0.936,6.99,1.295,97.3684210526316,50
783,B08TCDBQTC,5023139270705,9876553908060,BACOFOIL EASY CUT KITCHEN FOIL REFILL 15M,"3 x Easy Cut Refill Kitchen Foil 300mm, 15m",https://www.efghousewares.co.uk/baco-easy-cut-kitchen-foil-refill-15m-sp-,https://www.amazon.co.uk/dp/B08TCDBQTC,2.952,13.13,2.90166666666666,96.4008859357697,500
866,B093HHQ7HB,5050565833143,5017224926998,MEMORIAL GRAVE FLOWER VASE WITH STAKE,Black Graveside Memorial Spiked Flower Vase - In Loving Memory,https://www.efghousewares.co.uk/memorial-grave-flower-vase-with-stake-120049,https://www.amazon.co.uk/dp/B093HHQ7HB,0.876,7.23,0.995,77.734375,50
889,B01IFIJ91Y,5010853235530,5010853235530,MASON CASH MIXING BOWL CREAM 29CM,"Mason Cash Colour Mix Cream Mixing Bowl | 4 Litre Capacity | 29cm Earthenware Bowl with Classic Pattern Design | Lightweight & Dishwasher Safe | Ideal for Baking, Pastry, Dough, Cakes & Cookies",https://www.efghousewares.co.uk/mason-cash-mixing-bowl-cream-29cm-118288,https://www.amazon.co.uk/dp/B01IFIJ91Y,7.656,24.99,5.11499999999999,73.8095238095238,200
905,B07F2JQ4B7,5025364024801,8800202181567,TIDYZ 50 WHITE PEDAL BIN LINERS+HANDLE 15L,Tidyz 3 Packs Of 40 White Plastic Disposable Pedal Bin Liners - Fits 15L Bin - Extra Strong Tie Handle - 120 Bags In Total,https://www.efghousewares.co.uk/tidyz-50-white-pedal-bin-liners-handle-106249,https://www.amazon.co.uk/dp/B07F2JQ4B7,0.852,7.59,0.885,70.2380952380952,50
910,B004TRT3K8,5032759001675,,AMTECH SHARPENING STONE 2000,"Amtech E2300 300mm (12"") Cigar Sharpening Stone",https://www.efghousewares.co.uk/amtech-sharpening-stone-2000,https://www.amazon.co.uk/dp/B004TRT3K8,1.092,6.9,1.0175,69.6917808219178,50
