idx,brand,supplier,amazon,profit,sales
2228,ROLSON,ROLSON PLASTERING TROWEL 280X115MM,"Rolson 52245 Smooth Plastering Trowel, Multi, 280 x 120 mm",0.741666666666666,100
2283,BAKER,BAKER & SALT SWISS ROLL TRAY,Baker & Salt Non-Stick Swiss Roll Tray 32 x 23.5 x 1cm,0.717916666666666,600
1929,APOLLO,APOLLO BALLOON WHISK,"Apollo Whisk Rainbow, silicone, 26cm, 25x6x6",0.683333333333334,200
1881,TIDYZ,TIDYZ FOOD BAG 300PCS,600 TidyZ Food Freezer Bags with TIe Handles. Large Kitchen ,0.658333333333334,400
2383,KILROCK,KILROCK SERVICE-PRO COFFEE MACHINE DESCALER 150ML(SOLD EACH),Kilrock Service Pro Coffee Machine Descaler & Cleaner 2 x 15,0.632083333333333,100
2213,AMTECH,"AMTECH POINTING TROWEL 150M(6"") WITH SOFT GRIP","Amtech G0230 150mm (6"") Pointing trowel with soft grip",0.625416666666666,50
1920,TIDYZ,TIDYZ FREEZER BAGS 100 PCS XLLARGE,100 TidyZ Large Slide Zip Freezer Bags. Resealable. Zip Lock,0.608333333333334,900
2108,MINKY,MINKY ALL PURPOSE CLOTH PK10,Minky Anti-Bacterial Cleaing Pad | 3 Pack | Reusable Microfi,0.595,700
2583,PYREX,PYREX BUTTERFLY RECTANGULAR DISH SET OF 2,Pyrex - Set of 3 Rectangular Oven Dishes - Ideal for 2 to 6 ,0.588333333333333,400
2441,EVERBUILD,EVERBUILD JET RAPID SET CEMENT 3KG,"Everbuild Jetcem Deep Rapid Repair Sand and Cement, Grey, 6 ",0.574999999999999,50
2448,WHAM,WHAM CRYSTAL 32LTR CLEAR UNDERBED BOX&LID,Wham Clear Plastic Storage Box Boxes With Lids Home Office S,0.548333333333334,50
2342,AMTECH,AMTECH TELESCOPIC PICKUP TOOL,Amtech S8006 3 LED telescopic torch and magnetic pick up too,0.541666666666667,100
2352,BEAUFORT,BEAUFORT SQ FOOD CONTAINER 13 LTR,Beaufort 13 Litre New SQUARE FOOD & CAKE CONTAINER WITH CLEA,0.505833333333334,200
2064,FAIRY,FAIRY MAX POWER TEARDROP SCOURER,Addis Fairy Originals Non Scratch General Dual Sponge Scoure,0.491666666666667,100
2065,FAIRY,FAIRY DUAL SPONGE SCOURER WITH CRYSTALS PK2,Addis Fairy Originals Non Scratch General Dual Sponge Scoure,0.491666666666667,100
2375,MASON CASH,MASON CASH MUG 450ML CREAM,Mason Cash Colour Mix Cream Mixing Bowl | 2.7 Litre Capacity,0.471666666666667,100
2248,MINKY,MINKY EVERYDAY SPONGES BRIGHT & GOLD 2PC,Minky Anti-Bacterial Cleaing Pad | 3 Pack | Reusable Microfi,0.465,700
2249,MINKY,MINKY BRITES FLAT SCOURING PAD 4PC,Minky Anti-Bacterial Cleaing Pad | 3 Pack | Reusable Microfi,0.465,700
2096,APOLLO,APOLLO VINEGAR SHAKER,"apollo THE HOUSEWARES BRAND 3357 Glass Vinegar Shaker, Clear",0.463333333333332,50
2432,ROLSON,ROLSON BALL ENDED HEX SCREWDRIVER 7PC BITS,"Rolson 51 pc Screwdriver & Bit Set (Chrome Vanadium Steel, S",0.428333333333333,400
2411,KILROCK,KILROCK MOULD & MILDEW REMOVER BRUSH ON GEL 250ML(SOLD EACH),Kilrock Mould Remover Brush-On Gel 2 x 250ml - Eliminates Mo,0.426666666666666,200
2214,FAIRY,FAIRY MAX POWER SOAP DISPENSING DISH BRUSH & REFILLS 3PCS,Fairy Soap Dispensing Dish Brush,0.425,50
2523,BAKER,BAKER & SALT LOOSE CASE CAKE TIN 23CM,Baker & Salt Loose Based Round Cake Tin Deep - 09inch,0.404583333333332,50
2269,KILNER,KILNER PRESERVE JAR 0.25LTR SCREW LID,Kilner Preserve Jar 0.25L (250ml) Round Glass Screw Top Lid ,0.403333333333333,50
2332,MINKY,MINKY ANTI BACTERIAL MICROFIBRE ROLLS 4PC,Minky Anti-Bacterial Cleaing Pad | 3 Pack | Reusable Microfi,0.395,700
2607,CLIPPER,CLIPPER BUTANE GAS PK12,Clipper Butane Gas 12 pcs Canister 300ml - Universal Refill ,0.389583333333331,100
2243,CHEF AID,CHEF AID PASTRY CUTTERS  W184,"Chef Aid Pastry Cutters, Set Of 3, Cookie Biscuit Cutter, Sc",0.384999999999999,800
2529,MINKY,MINKY WASHING LINE PROP SUREGRIP,Minky Retractable Reel Washing Line with 15 m of Drying Spac,0.381666666666666,200
2272,APOLLO,APOLLO SILICON WHISK SPLASH 25CM,"Apollo Whisk Rainbow, silicone, 26cm, 25x6x6",0.373333333333333,200
2389,AMTECH,AMTECH TROWEL MARGIN - SOFT GRIP5X2,"Amtech G0230 150mm (6"") Pointing trowel with soft grip",0.351666666666667,50
2506,WHAM,WHAM CRYSTAL CD BOX CLEAR,Wham Pack 5 Crystal 17L Box & Lid Clear,0.348333333333334,50
2370,TALA,TALA DISPOSABLE ICING BAGSX10,Tala Icing Bag Set with 8 Interchangeable Stainless Steel Pi,0.266666666666667,200
2291,BEAUFORT,BEAUFORT MEASURE ULTIMATE JUG 2LTR,Beaufort - 2 Litre Clear Plastic Measuring Jug,0.252083333333333,200
2274,TALA,TALA COCKTAIL STICKS 200,"Tala Bamboo Cocktail Sticks, Ponted End Cocktails Sticks Per",0.251666666666667,50
2624,PYREX,PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Essentials Glass oval Casserole high resistance, 3 L",0.213750000000001,100
2532,AMTECH,AMTECH BOX SPANNER /TOMMY BAR,Amtech K1150 6 Piece Tubular Box Spanner Set with Tommy bar,0.207083333333334,50
2431,CHEF AID,CHEF AID PASTRY BRUSH 3 IN 1 CARDED,"Chef Aid Pure Bristle Pastry Brush, Beige",0.164999999999999,400
2630,THERMOS,THERMOS ECO COOL 6 CAN COOL BAG NAVY 3L,Blue Thermos Eco Cool 6 Can Cool Bag (111416),0.164999999999999,200
2603,APOLLO,APOLLO RB CUTTING BOARD 30X20,"Apollo 3245 RB Bread Board 30cm Round, Multi-Colour, 30x1.8x",0.158333333333333,100
2569,EVERBUILD,EVERBUILD ONE STRIKE FILLER 250ML,Everbuild â€“ One Strike â€“ Multi-Purpose Quick-Drying Fill,0.151666666666667,500
2562,HARRIS,HARRIS PUTTY KNIFE,Harris Seriously Good Putty Knife,0.134166666666667,50
2595,KILROCK,KILROCK PLUGHOLE FRESHENER CITRUS FRESH 500ML(SOLD EACH),Kilrock Plughole Unblocker Bathroom 500ml 2 Pack - Fast-Acti,0.115416666666666,50
2502,CLIPPER,BABY PIPKIN NAIL CLIPPERS & SCISSORS SET,"Vicloon Baby Nail Kit, 4-in-1 Baby Nail Care Set, Baby Nail ",0.115,200
2615,MASON CASH,MASON CASH CERAMIC RECT DISH 16cm,Mason Cash 2001.542 Collection Fine Stoneware Square Roastin,0.101666666666666,50
2598,CHEF AID,CHEF AID STRAINER DIAMETER 18CM,"Chef Aid 18cm Long Handled Metal Sieve, Kitchen Essential To",0.0833333333333337,200
2617,FAIRY,FAIRY MAX POWER SOAP DISPENSING DISH BRUSH,Fairy Soap Dispensing Dish Brush,0.0550000000000003,50
2658,WHAM,WHAM CRYSTAL 160LTR CLEAR BOX & LID,"Wham Pack of 2 Crystal Storage Boxes with Lids, Plastic, 80L",0.0504166666666676,300
2645,STATUS,STATUS 3WAY BASIC C/FREE SOCKET WHT 1PK CLAM,STATUS 2 Way Socket | 2 USB Port Cable Free Socket | S2W2USB,0.0400000000000002,200
2638,CHEF AID,CHEF AID SHOT GLASSES ASSORTED 20PCE,"Chef Aid Multi-Coloured Plastic Shot Glasses, Pack of 20 Reu",0.0300000000000009,600
2652,ROLSON,ROLSON CHALK LINE AND LAYOUT SET 3PCE,Rolson 52537 3 pc Chalk Line Set,0.0233333333333336,50
2639,WHAM,WHAM MEASURING JUG 2LTR,"Wham Cuisine 2L Clear Measuring Jug,JNS_453403",0.0179166666666669,100
2659,CHEF AID,CHEF AID FLUTED CAKE RING,"Chef Aid Non-Stick Fluted Cake Pan with Non-Stick Coating, I",0.0125000000000004,200
