,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI %,bought_in_past_month
727,5025301365790,,B0B3F548G7,QUEST EXPRESSO COFFEE EXPRESSO MACHINE WITH MILK FROTHER,Quest 36569 Espresso Coffee Machine With Milk Frother / 1.2L Water Tank and Drip Tray/Steam Ready and Temperature Indicator/For Ground Coffee Beans / 15 Bars of Pressure,15.588,69.99,33.6262499999999,248.347488921713,500
207,8699303352828,5011423004662.0,B09HHNQ2L8,WENKEN FOOD PROCESSOR & BLENDER 2 IN 1,"Kenwood FDP65.180SI 2 in 1 Food Processor Multipro Express, Silver",5.232,66.49,33.4383333333333,681.025118805159,300
28,5060082728884,653391672419.0,B0734R66B4,DLUX WASHING BAG,"Tevlaphee Steering Wheel Lock, Steering Lock, Car Anti-Theft Device, Adjustable, Universal Fit, Heavy Duty Secure, 3 Keys, Emergency Hammer Window Breaker(Black)",0.852,48.81,33.315,2644.04761904761,100
656,5060194132869,,B0FXRHGXGZ,AIRPURE & FRESH TRIGGER SPRAY CITRUS ZING 250ML PK12,OLEVS Mens Wooden Watch Analog Quartz Stainless Steel Wirst Watches Luxury Dress Chronograph Waterproof Luminous Watches for Men Gift,13.4279999999999,68.0,32.6266666666666,277.910278250993,50
25,5050565569936,,B0DL47ZJR2,PAPER EASTER 10 PLATES 7 INCH,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",0.744,50.99,32.5379166666666,2781.01851851851,100
54,5055319528559,,B0CNRQBMP8,PAINT FACTORY COLOUR IT SPRAY FLAT MATT WHITE 250ML,"Remote Control Car Building Set, 1:14 Technical Sports Racing Car Building Kit, with Motors and Rechargeable Battery, Toys Gift for Adults & Boys Age 12+ (1314 PCS)",1.476,54.99,32.335,1816.57303370786,200
61,5414886342003,5054061498677.0,B0BKL45BG4,MULTI MIXER 22CM ASSORTED,"Progress EK5234PTEAL Go Bake Stand Mixer- Large Electric Whisk with 4L Stainless Steel Bowl, 8 Speeds and Pulse Function, Mixing Beater, Dough Hook, and Whisk Attachments, Splash Guard, 1300W, Teal",1.644,60.92,32.2366666666666,1678.99305555555,100
203,5032759051380,,B0FGJ9JGSB,AMTECH RECHARGEABLE WORK LIGHT WITH MAGNETIC STAND 3W,"T-SUN Rechargeable LED Work Light with Metal Stand,4100Lumen Portable Magnetic Camping Light,10400Ah Battery,Job Site Lighting for Outdoor Barbecue Golf Fishing Indoor Workshop Garage",4.95599999999999,59.99,32.0216666666666,684.223646723646,100
290,5055490624705,,B084DQYNNM,PRO COOK ULTIMATE CARBON STEEL WOK 34CM,"YOSUKATA Carbon Steel Woks and Stir Fry Pans 34 cm - Traditional Chinese Japanese Wok with Flat Bottom - Compatible with Induction, Electric, Ceramic, Gas cooktops, and Open Flame, BBQ, Grill",6.31199999999999,59.99,31.2816666666666,538.410786001147,300
233,5034537034851,,B0DWSR1HK7,THE PET STORE FUNKY BIRD TRIO,"Smart Bird Feeder with Camera, Premium Bamboo Camera Bird Feeder, 2K HD Came Solar Powered, AI Auto Identify 16000+ Bird's Species, Bird Watching Camera for Bird Lovers",5.304,61.99,31.2183333333333,628.13547954393,100
250,5055441458601,5057902120010.0,B0DPR7Q4P5,DEKTON HANDLE MANHOLE KEY 2PC SET,"ROUGHNECKÂ® Universal Manhole Key Set, 13 Pieces: 2 Handles, 11 Keys (6 Types) and Carry Case",5.556,59.38,30.8933333333333,596.396396396396,100
49,5013174024821,705736243089.0,B0DL47ZJR2,ABBEY HAND SPRAY 750ML,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",1.236,50.99,30.1616666666666,1908.96624472573,100
188,5029347603557,,B00IZMVQOO,EVERBUILD SEALANT STRIPOUT TOOL,Everbuild Super Flow Sealant/Adhesive Cartridge Applicator Gun with Rotating Barrel â€“ Soft Grip Handle â€“ For Cartridges Up to 310 ml,4.104,49.65,28.78875,725.157430730478,400
36,5050565712875,,B0D62LX8W5,SNOW WHITE CHRISTMAS RIBBON  SILVER,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,0.876,45.77,28.7304166666666,2244.56380208333,100
