RowID,is_exact_ean_strict,EAN_digits,EAN_OnPage_digits,EAN_digits_normalized,EAN_OnPage_digits_normalized,EAN_strict_valid,EAN_OnPage_strict_valid,Pack_Verdict,Adjusted_Profit,NetProfit,ROI,Qty_Ratio,Sup_Qty,Amz_Qty,title_match,sales,MLS,MLS_band,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT
45,False,5052579034968,,5052579034968,,False,False,1:1 Match,23.1983333333333,23.1983333333333,1901.50273224043,1.0,1.0,1.0,0.1958041958041958,50,8,UNLIKELY,BETTINA SCOURER 6 MIXED SCOURERS,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,5052579034968.0,,B07YWB6QGR,0.804,38.77
46,False,5013174012392,717710483480,5013174012392,717710483480,True,True,1:1 Match,80.46,80.46,1893.17647058823,1.0,1.0,1.0,0.1320754716981132,50,5,UNLIKELY,WET FLOOR SIGNS ABBEY,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5013174012392.0,717710483480.0,B0FGHZB8FM,4.44,129.0
47,False,8006540937594,4242003943359,8006540937594,4242003943359,True,True,1:1 Match,241.011666666666,241.011666666666,1874.11871435977,1.0,1.0,1.0,0.15966386554621848,200,6,UNLIKELY,FAIRY WASHING UP LIQUID MAX POWER ORIGINAL 440ML PK8,"SIEMENS EQ6 plus S300, Fully Automatic Bean to Cup Espresso Coffee Machine with Cappuccinatore milk system, 11 beverages, Ceramic Grinder, Large Touchscreen Display, TE653M11GB, Titanium",8006540937594.0,4242003943359.0,B0BXLRLC9T,14.772,381.65
48,False,8721037140904,723990880789,8721037140904,723990880789,True,True,1:1 Match,23.1583333333333,23.1583333333333,1837.96296296296,1.0,1.0,1.0,0.19480519480519481,50,0,UNLIKELY,DISHWASH BRUSH 3 ASSORTED COLOUR,OLEVS Mens Wrist Watches Ultra Thin 6.5mm Minimalist Business Dress Waterproof & Date & Leather Strap Slim Watches for Men,8721037140904.0,723990880789.0,B07VHG2VGZ,0.852,38.77
49,False,5010353324291,717710483480,5010353324291,717710483480,True,True,1:1 Match,80.24,80.24,1795.07829977628,1.0,1.0,1.0,0.08780487804878048,50,0,UNLIKELY,MINKY FLAT MOP,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5010353324291.0,717710483480.0,B0FGHZB8FM,4.704,129.0
50,False,5050565833266,705736241986,5050565833266,705736241986,True,True,1:1 Match,35.0783333333333,35.0783333333333,1762.73031825795,1.0,1.0,1.0,0.22325581395348837,100,0,UNLIKELY,CEMENT ANIMALS WITH SUCCULENT 4 ASSORTED,"Mould King W16 Engine Building Blocks Set, Combustion Engine Model That Runs, Mini Engine Build Kit for Adults with Battery and Motor, STEM Toy for Children Boys Girl(952 Pcs)",5050565833266.0,705736241986.0,B0DBHJ5Q25,1.728,58.99
51,False,5030481680045,,5030481680045,,True,False,1:1 Match,20.49625,20.49625,1751.81623931623,1.0,1.0,1.0,0.2009132420091324,100,8,UNLIKELY,GLEAMAX DUSTPAN & BRUSH SILVER,"Wireless Gaming Headset for PS5, PS4, PC, Switch, Mac, 2.4 GHz Wireless & 5.4 Bluetooth Gaming Headphones with Mic ENC Noise Cancelling, 50mm Drivers, 3D Stereo Sound, 50H Battery, Foldable",5030481680045.0,,B0FRFRH3SG,0.744,33.99
52,False,8694169938483,,8694169938483,,True,False,BUNDLE (2x),26.6799166666666,27.9879166666666,1706.58028455284,2.0,1.0,2.0,0.22564102564102564,50,60,NEEDS VERIFICATION,"IMPERIAL SOUP PLATE BLUE 8""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",8694169938483.0,,B07SG6C3BR,1.308,45.23
53,False,3838952023870,4820184121324,3838952023870,4820184121324,True,True,1:1 Match,35.635,35.635,1688.8625592417,1.0,1.0,1.0,0.13270142180094788,100,5,UNLIKELY,PALOMA 2PLY IVORY 50 NAPKINS 40X40CM,"UGEARS Sky Watcher Tourbillon Table Clock - 3D Wooden Puzzles For Adults, Wooden Model Kits for Adults to Build - Astronomical Mechanical DIY 3D Puzzle Clock, 3D Puzzles Adult",3838952023870.0,4820184121324.0,B09LGTWHKF,1.872,60.15
54,False,5414886342003,5054061498677,5414886342003,5054061498677,True,True,1:1 Match,32.2366666666666,32.2366666666666,1678.99305555555,1.0,1.0,1.0,0.15315315315315314,100,1,UNLIKELY,MULTI MIXER 22CM ASSORTED,"Progress EK5234PTEAL Go Bake Stand Mixer- Large Electric Whisk with 4L Stainless Steel Bowl, 8 Speeds and Pulse Function, Mixing Beater, Dough Hook, and Whisk Attachments, Splash Guard, 1300W, Teal",5414886342003.0,5054061498677.0,B0BKL45BG4,1.644,60.92
55,False,8001565224988,,8001565224988,,True,False,1:1 Match,50.53125,50.53125,1678.77906976744,1.0,1.0,1.0,0.17511520737327188,300,7,UNLIKELY,APAC RIBBON 2INCH 100 YARDS BABY PINK,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",8001565224988.0,,B0D9W1S3Y5,2.952,78.99
