EAN,EAN_OnPage,,ASIN,Title,SupplierURL,AmazonURL,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,AmazonPrice_exVAT,ReferralFee,FBAFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierTitle,AmazonTitle,PrepHouseFee,match
5.01375E+12,5.01375E+12,TRUE,B004WPCC0A,,https://www.clearance-king.co.uk/wallpaper-paste-5-roll-0-25-ck.html,https://www.amazon.co.uk/dp/B004WPCC0A,0.55,0.458333333,2.98,,0.48,2.42,0.496666667,0.091666667,-0.416666667,0.405,-1.371666667,-136.0330579,4,-46.02908277,300,Available (see Keepa data),Available (see Keepa data),18,WALLPAPER PASTE - PACK OF 5 ROLLS,"151 Reliable, All-Purpose Wall Paper Paste, Hangs Up To 5 Rolls",0.55,
5.03141E+12,5.03141E+12,TRUE,B002QX4EWY,Pretty Round Cosmetic Pads - Pack of 80,https://www.clearance-king.co.uk/pretty-round-cosmetic-pads-pack-of-80.html,https://www.amazon.co.uk/dp/B002QX4EWY,0.49,0.408333333,3.59,2.991666667,0.29,2.65,0.598333333,0.081666667,0.051666667,0.516666667,-0.965,-2.363265306,3.93,-0.322562674,300,Available (see Keepa data),Available (see Keepa data),12,,,,TRUE
5.01375E+12,5.01375E+12,TRUE,B004WPCC0A,,https://www.clearance-king.co.uk/wallpaper-paste-5-roll-0-25-ck.html,https://www.amazon.co.uk/dp/B004WPCC0A,0.55,0.458333333,2.98,,0.48,2.42,0.496666667,0.091666667,-0.416666667,0.405,-1.371666667,-136.0330579,4,-46.02908277,300,Available (see Keepa data),Available (see Keepa data),18,WALLPAPER PASTE - PACK OF 5 ROLLS,"151 Reliable, All-Purpose Wall Paper Paste, Hangs Up To 5 Rolls",0.55,TRUE
,,TRUE,B07QQKL598,2 In 1 Pot Sponge & Scourer - Dual Purpose Scrub,https://www.clearance-king.co.uk/2-in-1-pot-sponge-scourer-dual-purpose-scrub.html,https://www.amazon.co.uk/dp/B07QQKL598,0.28,0.233333333,13.99,11.65833333,2.0985,2.8,2.331666667,0.046666667,6.759833333,2.285,3.974833333,17.035,5.6785,0.340943531,300,,,,,,,TRUE
,,TRUE,B07QQKL598,,https://www.clearance-king.co.uk/2-in-1-pot-sponge-scourer-dual-purpose-scrub.html,https://www.amazon.co.uk/dp/B07QQKL598,0.28,0.233333333,13.99,,2.0985,2.8,2.331666667,0.046666667,6.759833333,2.285,3.924833333,501.0425532,5.7285,28.05456278,300,,,,2 In 1 Pot Sponge & Scourer - Dual Purpose Scrub,"MR.SIGA Heavy Duty Scouring Pads, Household Scrubber for Kitchen, Sink, Dish, 24-Pack, 3.9 x 5.9 inch (10 x 15 cm), Green",0.55,TRUE
5.05325E+12,5.05325E+12,TRUE,B0B59V7L6F,,https://www.clearance-king.co.uk/elbow-grease-dual-sided-pink-scrubbing-pad-18-5-x-9-5-x-2-5cm.html,https://www.amazon.co.uk/dp/B0B59V7L6F,0.72,0.6,2.49,,0.32,2.72,0.415,0.12,-0.965,0.295,-1.81,-157.3913043,4.31,-72.69076305,300,,Available (see Keepa data),14,Elbow Grease Dual Sided Pink Scrubbing Pad - 18.5 x 9.5 x 2.5cm,"Elbow GreasePink Scrubbing Pad, Dual Sided Sponge, Washable, Reusable, Non-Scratch",0.55,
9.78001E+12,,FALSE,B01B98DQLQ,THE CHRONICLES OF NARNIA: PRINCE CASPIAN- MOVIE STORYBOOK,https://www.clearance-king.co.uk/the-chronicles-of-narnia-prince-caspian-movie-storybook.html,https://www.amazon.co.uk/dp/B01B98DQLQ,0.44,0.366666667,78.02,65.01666667,11.7,2.16,13.00333333,0.073333333,51.15666667,12.93,37.72666667,102.8909091,14.8,0.580261471,,,Available (see Keepa data),2,,,,
5.06012E+12,,FALSE,B0F1YL4S3P,XBC Xpel Body Care Gold Collagen Facial Mask - Exp: 06/23,https://www.clearance-king.co.uk/xbc-xpel-body-care-gold-collagen-facial-mask.html,https://www.amazon.co.uk/dp/B0F1YL4S3P,0.15,0.125,8.98,7.483333333,0.72,2.65,1.496666667,0.025,4.113333333,1.471666667,2.141666667,17.13333333,4.02,0.286191537,,Available (see Keepa data),,1,,,,
,,TRUE,B0CLGPMQ6L,PATIO WEED BRUSH WITH LONG WOODEN HANDLE - 1.2 M,https://www.clearance-king.co.uk/weed-brush-with-long-wooden-handle-1-2-m.html,https://www.amazon.co.uk/dp/B0CLGPMQ6L,2.05,1.708333333,15.99,13.325,2.08,3.15,2.665,0.341666667,8.095,2.323333333,5.271666667,3.085853659,7.78,0.395622264,200,Available (see Keepa data),,1,,,,
5.05618E+12,,FALSE,B0971Z6BY1,RUBBER DOOR WEDGES CLIPSTRIP - PACK OF 2,https://www.clearance-king.co.uk/2pk-rubber-door-wedges-clipstrip-12-96-ck.html,https://www.amazon.co.uk/dp/B0971Z6BY1,0.25,0.208333333,5.85,4.875,0.76,1.73,0.975,0.041666667,2.385,0.933333333,0.951666667,4.568,3.24,0.195213675,,Available (see Keepa data),,1,,,,
