SupplierTitle,AmazonTitle,match_type,EAN,EAN_OnPage,ASIN,bought_in_past_month,NetProfit,ROI,SellingPrice_incVAT,SupplierPrice_exVAT,bucket,inclusion_reason,confidence,verification_status,title_similarity,asin_product_count,supplier_category,SupplierURL,AmazonURL,ProfitMargin,Breakeven,fba_seller_count,fbm_seller_count,total_offer_count,validation_required,priority
BETTINA MOP YELLOW HEAD & SILVER HANDLE,TK3400 TK-3400 1T0C0Y0NL0 Compatible Toner Cartridge 12500 Pages Black for Kyocera ECOSYS PA4500 PA4500x MA4500 MA4500x MA4500fx Laser Printer,T1,5052578031301,799787999675.0,B0D62XRMFL,,12.82666666666667,442.2988505747127,27.8,2.35,B,Strong absolute profit (>5 GBP); High ROI (442%); Price in FBA sweet spot; EAN-confirmed match,HIGH,VERIFIED,0.0,7,unknown,https://www.efghousewares.co.uk/bettina-mop-yellow-head-silver-handle-106246,https://www.amazon.co.uk/dp/B0D62XRMFL,55.36690647482016,12.408,,,1.0,NO,HIGH
SECURFIX MULTI PURP. SCREW CSK ZYP 4.0X30MM,Spectre™ PZ Compatible Wood Screw CSK ZYP 4.0 x 30mm Tub 1400,T2,5019923302714,,B0CTKV8KVZ,,10.104166666666666,441.2299854439592,20.9,1.74,B,Strong absolute profit (>5 GBP); High ROI (441%); Price in FBA sweet spot; Match needs validation,MEDIUM,VALIDATION_REQUIRED,0.2727272727272727,1,unknown,https://www.efghousewares.co.uk/securfix-multi-purp-screw-csk-zyp-4-0x30mm,https://www.amazon.co.uk/dp/B0CTKV8KVZ,58.01435406698564,8.775,,,,YES,MEDIUM
BOW AND ARROW IN POLYBAG,"Hollyhi Bow Arrow Set for Kids, LED Light Up Archery Set Toys with 10 Arrows, Indoor Outdoor Shooting Games Hand-eye coordination Birthday Gifts for 5 6 7 8 9 10 11 12 13 14 Year Old Boys Girls",T2,5033849054465,,B0CGTHSJLJ,,7.844583333333333,440.7069288389513,16.99,1.23,B,Strong absolute profit (>5 GBP); High ROI (441%); Price in FBA sweet spot; Match needs validation,MEDIUM,VALIDATION_REQUIRED,0.0625,1,unknown,https://www.efghousewares.co.uk/bow-and-arrow-in-polybag,https://www.amazon.co.uk/dp/B0CGTHSJLJ,55.40612124779282,7.576499999999999,,,,YES,MEDIUM
UCSAN FROSTED COFFEE CUP,ecooe 2x350ml Double Walled Coffee Glasses Mugs Cappuccino Latte Macchiato Glasses Cups with Handle Borosilicate Heat Resistant Glass Cups for Coffee Tea Milk Juice Ice Cream,T1,8691459121006,608220813037.0,B077MZ6YNX,,4.315000000000002,440.3061224489799,12.99,0.43,B,Moderate profit (>2 GBP); High ROI (440%); Price in FBA sweet spot; EAN-confirmed match,HIGH,VERIFIED,0.047619047619047616,2,unknown,https://www.efghousewares.co.uk/ucsan-frosted-coffee-cup,https://www.amazon.co.uk/dp/B077MZ6YNX,39.86143187066976,7.811999999999999,,,2.0,NO,MEDIUM
SECURPAK HIPSTER KEY RING,10x Securpak Hipster Key Ring 70mm Nickel Plated,T1,5019923202502,5019923002492.0,B098F23VW9,,5.305000000000001,438.4297520661158,12.6,0.66,B,Strong absolute profit (>5 GBP); High ROI (438%); Price in FBA sweet spot; EAN-confirmed match,HIGH,VERIFIED,0.5,1,unknown,https://www.efghousewares.co.uk/securpak-hipster-key-ring-119638,https://www.amazon.co.uk/dp/B098F23VW9,50.523809523809526,6.233999999999999,,,1.0,NO,HIGH
MINKY ANTIBACTERIAL 4 SPONGE SCOURERS NS,"Herd Mentality – Udderly Hilarious Family Board Game for 4–20 Players | Easy to Learn, Loved by Millions, with Bonus Online Exclusive Content",T1,5010353320354,5060579761936.0,B09S3YBBRR,,5.601666666666668,437.63020833333337,14.99,0.73,B,Strong absolute profit (>5 GBP); High ROI (438%); Price in FBA sweet spot; EAN-confirmed match,HIGH,VERIFIED,0.0,8,unknown,https://www.efghousewares.co.uk/minky-antibacterial-3-sponge-scourers-70442,https://www.amazon.co.uk/dp/B09S3YBBRR,44.84322881921282,8.267999999999999,,,5.0,NO,HIGH
MASTERCOOK PARING BLACK HANDLE 3 INCH,"khtumeware 2 Pack 3inch(76mm) Hole Center Matte Black Cabinet pulls, Solid Heavy-Duty Kitchen Cabinet Handle, Cabinet Hardware for Dressing Table, Bathroom Pull",T2,5085117830028,,B0FJSLKQ4F,,6.825000000000002,437.5000000000001,15.24,1.01,B,Strong absolute profit (>5 GBP); High ROI (438%); Price in FBA sweet spot; Match needs validation,MEDIUM,VALIDATION_REQUIRED,0.05555555555555555,1,unknown,https://www.efghousewares.co.uk/mastercook-paring-black-handle-3-inch-114944,https://www.amazon.co.uk/dp/B0FJSLKQ4F,53.74015748031498,7.05,,,2.0,YES,MEDIUM
BRIGHT & HOMELY PILLAR CANDLE IVORY 125 HOUR BURN 25CM X 8CM,"Hofer Ivory Unscented Pillar Candles - Set of 10, 5 x 8 cm, 18 Hour Burn Time, Dripless, Smokeless Wick, RAL Quality, Made in Austria",T2,5050796012263,,B083MX9R6T,,13.569583333333332,436.3210075026794,26.95,2.56,B,Strong absolute profit (>5 GBP); High ROI (436%); Price in FBA sweet spot; Match needs validation,MEDIUM,VALIDATION_REQUIRED,0.2,2,unknown,https://www.efghousewares.co.uk/bright-homely-pillar-candle-ivory-125-hour-burn-25cm-x-8cm-123542,https://www.amazon.co.uk/dp/B083MX9R6T,60.42115027829313,10.6665,,,,YES,MEDIUM
VPL SUNPET FOOD JAR 1000ML,"Sunpet Large Red Top Plastic Food Storage Canister Size 1000 ml, Pack of 6",T2,8901427000135,,B0078NN54A,,5.097083333333334,435.6481481481482,12.25,0.62,B,Strong absolute profit (>5 GBP); High ROI (436%); Price in FBA sweet spot; Match needs validation,MEDIUM,VALIDATION_REQUIRED,0.16666666666666666,1,unknown,https://www.efghousewares.co.uk/vpl-sunpet-food-jar-1000ml,https://www.amazon.co.uk/dp/B0078NN54A,49.93061224489796,6.1335,,,,YES,MEDIUM
BAMBOO TORCH 65CM BLACK,12x Black 113cm Bamboo Garden Fire Torches - Outdoor Paraffin Lamp Oil Burner Tiki Candle Flame Lantern Stake Light - by Harbour Housewares,T2,8719202537819,,B084HFN4CS,,10.127916666666668,434.6745350500716,20.99,1.78,B,Strong absolute profit (>5 GBP); High ROI (435%); Price in FBA sweet spot; Match needs validation,MEDIUM,VALIDATION_REQUIRED,0.09523809523809523,1,unknown,https://www.efghousewares.co.uk/bamboo-torch-65cm-black,https://www.amazon.co.uk/dp/B084HFN4CS,57.90138161029061,8.8365,,,,YES,MEDIUM
