Supplier_Title,Amazon_Title,ASIN,EAN,Match_Type,Tier,Confidence_Score,EAN_Exact_Match,Sales,Net_Profit,ROI,Supplier_Price,Amazon_Price,Bucket,Inclusion_Reason,Confidence,Validation_Required,Priority,Similarity,Unit_Qty_Flag,Unit_Qty_Note,Category,Supplier_URL,Amazon_URL,FBA_Sellers,Dashboard_Flags
RUSTINS SMALL JOB PRIMER & UNDERCOAT GREY 250ML,RUSTINS Small Job Primer & Undercoat Grey 250ml,B005FQGVG6,5015332260997,EAN,T1,95,TRUE,50.0,-1.13,-28.026534,4.164,7.96,C,Near-breakeven (-1.13) with 50 monthly sales,HIGH,No,MEDIUM,1.0,MATCH,,Rustins Ltd,https://www.efghousewares.co.uk/rustins-small-job-primer-u-c-grey-250ml,https://www.amazon.co.uk/dp/B005FQGVG6,,UNPROFITABLE
HARRIS ESSENTIALS WALLPAPER SMOOTHER,Harris Essentials Wallpaper Smoother,B081FDM64D,5056287402636,EAN,T1,95,TRUE,200.0,-1.13,-57.86324786,1.68,3.65,C,Near-breakeven (-1.13) with 200 monthly sales,HIGH,No,MEDIUM,1.0,MATCH,,Harris Decorating,https://www.efghousewares.co.uk/harris-essentials-wallpaper-smoother-110766,https://www.amazon.co.uk/dp/B081FDM64D,Available (see Keepa data),UNPROFITABLE
AMTECH WOOD HANDLE AWL 4INCH,"Amtech S2450 100mm (4"") Bradawl with Wooden Handle",B004H26U4M,5032759018635,EAN,T1,60,TRUE,50.0,-1.13,-66.37254902,1.38,4.25,C,Near-breakeven (-1.13) with 50 monthly sales,HIGH,No,MEDIUM,0.46,MATCH,,Amtech Tools,https://www.efghousewares.co.uk/amtech-wood-handle-awl-4inch,https://www.amazon.co.uk/dp/B004H26U4M,Available (see Keepa data),UNPROFITABLE
ARTBOX A4 50 SHEET BLACK PAD,ART BOX A4 Pad - Black,B00K2PLPFM,5013922050997,EAN,T1,40,TRUE,100.0,-1.13,-80.26628626,1.0224,3.14,C,Near-breakeven (-1.13) with 100 monthly sales,HIGH,No,MEDIUM,0.68,MATCH,,Other,https://www.efghousewares.co.uk/artbox-a4-50-sheet-black-pad,https://www.amazon.co.uk/dp/B00K2PLPFM,Available (see Keepa data),"BRAND_MISMATCH,UNPROFITABLE"
RUSTINS WOODWORM KILLER 250ML,Rustins Woodworm Killer 250ml,B08PC2TX6Y,5015332003679,EAN,T1,95,TRUE,100.0,-1.14,-27.08830549,4.368,8.25,C,Near-breakeven (-1.14) with 100 monthly sales,HIGH,No,MEDIUM,1.0,MATCH,,Rustins Ltd,https://www.efghousewares.co.uk/rustins-woodworm-killer-250ml,https://www.amazon.co.uk/dp/B08PC2TX6Y,,UNPROFITABLE
ROYAL CUISINE ALUMINIUM FRYING PAN 20CM,Non Stick Frying Pan All Stoves Compatible Cookware Omelette Pan Forged Aluminum Frying Pans Non Stick Induction pan Set (20CM),B09FGH6RBQ,5060091196476,EAN,T1,60,TRUE,50.0,-1.14,-18.06434599,6.924,12.49,C,Near-breakeven (-1.14) with 50 monthly sales,HIGH,No,MEDIUM,0.41,MATCH,,Cookware,https://www.efghousewares.co.uk/royal-cuisine-aluminium-frying-pan-20cm,https://www.amazon.co.uk/dp/B09FGH6RBQ,Available (see Keepa data),"BRAND_MISMATCH,UNPROFITABLE"
PYREX GLASS LOAF DISH 28CM,Pyrex Bake & Enjoy Glass Loaf dish high resistance 28x12x8 cm,B000UOCXVA,3137610000872,Title,T2,45,FALSE,300.0,-1.15,-26.1526833,4.632,8,C,Near-breakeven (-1.15) with 300 monthly sales,MEDIUM,Yes,MEDIUM,0.6,MATCH,,Pyrex,https://www.efghousewares.co.uk/pyrex-glass-loaf-dish-28cm-117733,https://www.amazon.co.uk/dp/B000UOCXVA,,"AMAZON_EAN_MISSING,UNPROFITABLE"
PRIDE & GROOM SPOT ON CATS,"Pride & Groom Spot On for Cats Flea & Tick Repellent, White",B079HWNX6Z,5053249223223,Title,T2,45,FALSE,100.0,-1.15,-73.3974359,1.212,2.85,C,Near-breakeven (-1.15) with 100 monthly sales,MEDIUM,Yes,MEDIUM,0.61,MATCH,,Cat Products,https://www.efghousewares.co.uk/pride-groom-spot-on-cats,https://www.amazon.co.uk/dp/B079HWNX6Z,,"AMAZON_EAN_MISSING,UNPROFITABLE"
HIGHLAND COW PLAQUE LOVE,Lesser & Pavey Love & Affection Highland Cow Wooden Plaque - Love For Home Decor & Gift | Wooden and Acrylic Plaques For Home and Office | Ideal Signs & Plaque Birthday Gifts For Women & Men,B0DPQWLFT6,5010792749518,EAN,T1,40,TRUE,50.0,-1.15,-18.95695364,6.588,11.49,C,Near-breakeven (-1.15) with 50 monthly sales,HIGH,No,MEDIUM,0.22,MATCH,,Giftware,https://www.efghousewares.co.uk/highland-cow-plaque-love-116499,https://www.amazon.co.uk/dp/B0DPQWLFT6,,"BRAND_MISMATCH,UNPROFITABLE"
KINGFISHER OUTSIDE TAP COVER,Kingfisher Outside Tap Cover Frost Protector 'Packaging may vary',B00FK08BWO,5013478143372,EAN,T1,95,TRUE,1000.0,-1.16,-52.0457958,2.004,5.95,C,Near-breakeven (-1.16) with 1000 monthly sales,HIGH,No,MEDIUM,0.6,MATCH,,Watering,https://www.efghousewares.co.uk/kingfisher-outside-tap-cover,https://www.amazon.co.uk/dp/B00FK08BWO,Available (see Keepa data),UNPROFITABLE
AMTECH MAGNETIC BIT HOLDER 12 INCH,"Amtech L2230 Magnetic Bit Holder, 12'' (30cm) Drill Bit Extension, Long Reach with Magnetic Head, ¼ inch Hex Drive",B001UK0PCC,5032759021345,EAN,T1,80,TRUE,50.0,-1.16,-60.73298429,1.632,4.98,C,Near-breakeven (-1.16) with 50 monthly sales,HIGH,No,MEDIUM,0.46,MATCH,,Amtech Tools,https://www.efghousewares.co.uk/amtech-magnetic-bit-holder-12-inch,https://www.amazon.co.uk/dp/B001UK0PCC,Available (see Keepa data),UNPROFITABLE
