,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,NetProfit,ROI,supplier_pack,amazon_pack,pack_ratio,adjusted_profit,title_similarity,brand_match,verdict,confidence,reason
54,8001565224988.0,,B0D9W1S3Y5,APAC RIBBON 2INCH 100 YARDS BABY PINK,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",50.53125,1678.77906976744,1,1,1.0,50.53125,0.17511520737327188,False,OTHER,30,Insufficient match evidence
55,8001565224858.0,,B0D9W1S3Y5,APAC RIBBON 2INCH 100 YARDS PURPLE,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",50.53125,1678.77906976744,1,1,1.0,50.53125,0.12149532710280374,False,OTHER,30,Insufficient match evidence
56,8001565224964.0,,B0D9W1S3Y5,APAC RIBBON 2INCH 100YDS  BURGUNDY,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",50.53125,1678.77906976744,1,1,1.0,50.53125,0.1588785046728972,False,OTHER,30,Insufficient match evidence
57,5033601868323.0,,B0C3LYMSZ5,EUROWRAP TISSUE PAPER 6SHTS LIGHT BLUE,"Toddler Toys for 2 3 4 5 6 Years Old Boys, Die-Cast Transport Truck Car Toys 61-Inch Race Track for Boys Kids, Toddler Car Toys Set for Kids Boys Girls",15.7679166666666,1677.43794326241,1,1,1.0,15.7679166666666,0.14814814814814814,False,OTHER,30,Insufficient match evidence
58,5016679520003.0,,B0DTKDYJ8J,BIRDBRAND S/WASH R/T/USE EACH 5LT,"2K Bird Feeder with Camera, Solar Powered, AI Identify 10,000+ Birds, 1.8L Capacity, IP65 Waterproof, 2.4GHz/5GHz, Bird Box Camera with Full Color Night Vision, Present for Bird Lover",64.51625,1654.26282051282,1,1,1.0,64.51625,0.16666666666666666,False,OTHER,30,Insufficient match evidence
59,3838952032452.0,48296309469.0,B07CT3TVNT,PALOMA CHRISTMAS NAPKINS 3 PLY 20 PACK ASSORTED DESIGNS,"Laplink PCmover Professional 11 - Migration of your Applications, Files and Settings from an Old PC to a New PC - Data Transfer Software - Optional High Speed Ethernet Cable - 1 License",24.3983333333333,1626.55555555555,20,1,0.05,25.4813333333333,0.16666666666666666,False,OTHER,30,Insufficient match evidence
60,8001565224933.0,4820184122314.0,B0D9W1S3Y5,APAC RIBBON 2INCH 100 YARDS MAGENTA,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",47.815,1588.53820598006,1,1,1.0,47.815,0.12093023255813953,False,OTHER,30,Insufficient match evidence
61,5052578011211.0,,B07YWB6QGR,BETTINA BATH 4 SPONGES ROUNDED,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,22.9683333333333,1584.02298850574,1,1,1.0,22.9683333333333,0.22695035460992907,False,OTHER,30,Insufficient match evidence
62,6923456800571.0,855462008824.0,B07NT77GT8,ADORN FOLDING BAG ASSORTED COLOURS,"TREKOLOGY YIZI GO Camping Chair for Adult â€“ Compact, Foldable, Lightweight 0.9 kg, 136 kg Capacity, Durable Aluminum, Quick Setup, Ideal for Backpacking, Beach, and Outdoor Adventures (Black)",23.2583333333333,1550.55555555555,1,1,1.0,23.2583333333333,0.19383259911894274,False,OTHER,30,Insufficient match evidence
63,5033601008965.0,7426823912727.0,B07CZHJKPW,NORTHPOLE CURLING RIBBON 4 X 4M,Pos Display Shop 5 x A4 Portrait Leaflet Holder Wall Mountable LDS5000 Recyclable!,19.8316666666666,1502.39898989899,1,1,1.0,19.8316666666666,0.21238938053097345,False,OTHER,30,Insufficient match evidence
