RowID,bucket,MLS,MLS_band,title_match,sales,is_exact_ean_strict,EAN_digits,EAN_OnPage_digits,EAN_digits_normalized,EAN_OnPage_digits_normalized,EAN_strict_valid,EAN_OnPage_strict_valid,Supplier EAN,Amazon EAN,pack_supplier_count,pack_amazon_count,pack_supplier_evidence,pack_amazon_evidence,Qty_Ratio,Adjusted_Profit_baseline,NetProfit,NetProfit_num,ROI,ASIN,SupplierTitle,AmazonTitle,SupplierPrice_incVAT,SellingPrice_incVAT,ip_risk
47,OTHER,5,UNLIKELY_OTHER,0.0784313725490196,100.0,False,5018705345147,,5018705345147,,True,False,5018705345147,-,,,,,,,26.1054166666666,26.1054166666666,1466.59644194756,B0BPLGMW1B,CHARGER PLATE SILVER REDBUD 33CM,OLEVS Mens Watches Designer Calendar Dress Metal Stainless Steel Quartz Analog Waterproof Luminous Wrist Watch Gent Large,1.476,42.77,False
48,OTHER,13,UNLIKELY_OTHER,0.18106995884773663,900.0,False,5025301737399,,5025301737399,,True,False,5025301737399,-,,,,,,,110.059583333333,110.059583333333,1386.14084802686,B0FJ1RGCSP,CHRISTMAS MUSICAL SNOW GLOBE CHRISTMAS SANTA,"Cordless Vacuum Cleaner, 600W 50KPA 65Mins Cordless Stick Vacuum with Touch Screen AUTO-Mode, Pet Tool &1M Hose, Wall-Charging, Fragrance Release, Powerful Vacuum for Floors/Carpets/Pet Hair UK Homes",8.868,169.99,False
49,OTHER,8,UNLIKELY_OTHER,0.11483253588516747,100.0,False,8435123280763,48296309469,8435123280763,048296309469,True,True,8435123280763,048296309469,2.0,,2pk,,,,24.1183333333333,24.1183333333333,1354.96254681647,B07CT3TVNT,COK LATTE GLASS 25CL 2PK,"Laplink PCmover Professional 11 - Migration of your Applications, Files and Settings from an Old PC to a New PC - Data Transfer Software - Optional High Speed Ethernet Cable - 1 License",1.476,41.95,False
50,OTHER,24,UNLIKELY_OTHER,0.22564102564102564,50.0,False,8694169938490,745606660523,8694169938490,745606660523,True,True,8694169938490,745606660523,,2.0,,set of 2,,,23.9816666666666,23.9816666666666,1354.89642184557,B07SG6C3BR,"IMPERIAL SOUP PLATE BLUE 9""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",1.464,45.23,False
51,OTHER,13,UNLIKELY_OTHER,0.18811881188118812,100.0,False,5026180069403,,5026180069403,,True,False,5026180069403,-,,,,,,,38.055,38.055,1335.26315789473,B0FCM9Z123,APOLLO GLASS CHOPPING BOARD CLEAR 28X38,Saker Cordless Leaf Blower Portable Dust Cleaner Handheld Blower 180000 RPM with Adjustable Speed for Lawn Care and Dust Patio Cleaning 2 Batteries Green with Case,2.76,69.99,False
52,OTHER,6,UNLIKELY_OTHER,0.08333333333333333,100.0,False,5030481160050,,5030481160050,,False,False,-,-,,,,,,,20.11625,20.11625,1297.82258064516,B0FRFRH3SG,ECO BAMBOO DISH BRUSH ROUND,"Wireless Gaming Headset for PS5, PS4, PC, Switch, Mac, 2.4 GHz Wireless & 5.4 Bluetooth Gaming Headphones with Mic ENC Noise Cancelling, 50mm Drivers, 3D Stereo Sound, 50H Battery, Foldable",1.2,33.99,False
53,OTHER,18,UNLIKELY_OTHER,0.2535211267605634,50.0,False,5052578045209,,5052578045209,,True,False,5052578045209,-,,,,,,,22.6383333333333,22.6383333333333,1271.81647940074,B07YWB6QGR,BETTINA MICROFIBRE FLICK DUSTER,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,1.476,38.77,False
54,OTHER,30,UNLIKELY_OTHER,0.22772277227722773,300.0,False,742288768073,,742288768073,,True,False,742288768073,-,,6.0,,set of 6,,,14.8616666666666,14.8616666666666,1270.22792022792,B0FN3TVZVL,PORCELAIN MUG 12OZ COLOURED,"vancasso SIMI Mugs Set, 12oz/360ml Porcelain Coffee Mug Set of 6, Bohemian Style Tea and Coffee Cups with Handle, Microwave & Dishwasher Safe, Suitable for All Kinds of Drinks",0.744,30.59,False
55,OTHER,10,UNLIKELY_OTHER,0.14432989690721648,50.0,False,9333527745026,,9333527745026,,True,False,9333527745026,-,,,,,,,21.965,21.965,1233.98876404494,B0CQP7TT72,FESTIVE MAGIC PASTEL SANTA WATERBAALL 45MM,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",1.476,39.99,False
56,OTHER,31,UNLIKELY_OTHER,0.20833333333333334,100.0,False,5030481960147,,5030481960147,,True,False,5030481960147,-,,6.0,,6 pack,,,14.0016666666666,14.0016666666666,1196.72364672364,B095RYQRP3,PPS WINE DRINK 5 GOBLETS,"Kingrol 6 Pack 10oz Wine Glasses Goblets, 300ml Vintage Water Glasses, Romantic Mixed Drink Glasses for Party, Daily Use",0.744,29.99,False
