row_id,bucket,confidence,track,include_in_tables,supplier_title,amazon_title,supplier_ean,amazon_ean,asin,supplier_price,selling_price,net_profit,roi,sales,supplier_pack_qty,amazon_pack_qty,pack_ratio,pack_verdict,adjusted_profit,key_match_evidence,filter_reason,traps
33,FILTERED_OUT,0,UNKNOWN,False,CHRISTMAS TAG BAUBLE WOODEN MINI 4PK,Belaco Oil Filled Radiators 11 Fins Portable Electric Heater Adjustable Thermostat Control 3 Heat Settings Portable Heater Overheat Protection 2500W Energy Efficient Heavy-Duty Castor,5056170340700,5060598911466,B09MZDW551,0.744,52.86,28.39,,200.0,,,,UNKNOWN,28.39,-,Different brands detected; products not compatible,
34,FILTERED_OUT,5,UNKNOWN,False,CHRISTMAS VELVET COLOURING SET 2PC,"KableRika LED Desk Lamp for Office, Double Head Desk Lamp with Base, Dimmable Architect Desk Light, Eye Caring Monitor Light Bar with Timer, Task Lamp for Work Study Read Home Office Lighting",5056170355988,-,B0D25HS86F,0.6,39.99,24.86625,,200.0,1.0,,,UNKNOWN,24.86625,-,Different brands detected; products not compatible,
35,FILTERED_OUT,0,UNKNOWN,False,PLATE 10.5 INCH ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,6923456812901,198715902921,B0DK877SSC,0.672,49.99,26.1283333333333,,50.0,1.0,,,UNKNOWN,26.1283333333333,-,Different brands detected; products not compatible,
36,FILTERED_OUT,30,UNKNOWN,False,RED CROWN EDT100ML POUR FEMME EACH,"Versace Eros Pour Femme Eau De Parfum For Women, 100 ml",5055170281631,8011003823536,B00QAIV7V2,1.344,63.98,38.9466666666666,,500.0,,,,UNKNOWN,38.9466666666666,"Shared anchors: FEMME, POUR",Different brands detected; products not compatible,
37,FILTERED_OUT,30,UNKNOWN,False,REVITALISE ELIXIR EDT 85ML POUR FEMME EACH,"Versace Eros Pour Femme Eau De Parfum For Women, 100 ml",5055170283062,8011003823536,B00QAIV7V2,1.344,63.98,38.9466666666666,,500.0,1.0,,,UNKNOWN,38.9466666666666,"Shared anchors: FEMME, POUR",Different brands detected; products not compatible,
38,FILTERED_OUT,5,UNKNOWN,False,LYNWOOD MINI ROLLER SET 5PACK,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5016574137825,-,B0DN6BWS36,2.82,99.99,65.51625,,50.0,,,,UNKNOWN,65.51625,Shared anchors: MINI,Different brands detected; products not compatible,
39,FILTERED_OUT,5,UNKNOWN,False,SNOW WHITE CHRISTMAS RIBBON SILVER,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,5050565712875,-,B0D62LX8W5,0.876,45.77,28.7304166666666,,100.0,,,,UNKNOWN,28.7304166666666,Shared anchors: WHITE,Different brands detected; products not compatible,
40,FILTERED_OUT,5,UNKNOWN,False,LOVE SCENTED WAX MELTS,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,5050565512352,-,B0D62LX8W5,0.804,45.77,27.2816666666666,,100.0,,,,UNKNOWN,27.2816666666666,-,Different brands detected; products not compatible,
41,FILTERED_OUT,35,UNKNOWN,False,SPRAY ADHESIVE HEAVY DUTY 500ML,LEGO / Marvel Iron Man Mark 3 Collectors' Edition Figure - Avengers Display Model Kit for Adults - incl. a Minifigure & Arc Reactor - Collectible Gift for Fans - 76344,5056239432094,-,B0FPXDNJ1T,3.36,119.97,74.475,,200.0,1.0,1.0,1.0,1:1 Match,74.475,-,Different brands detected; products not compatible,
42,FILTERED_OUT,5,UNKNOWN,False,UNIQUE CANDLE NUMBER W/DECOR 6,"Lehoo Castle Dino Construction Truck Sit and Spin Toys for Toddlers 1-3 Boys, 360Â° Toddler Spinning Seat with Lights and Music, Sensory Toys Christmas Birthday Gift for Kids Age 2 3 4 5",011179373161,-,B0FP2P7WNL,0.708,45.99,24.655,,300.0,,,,UNKNOWN,24.655,-,Different brands detected; products not compatible,
43,FILTERED_OUT,5,UNKNOWN,False,BRIGHT & HOMELY STAINLESS STEEL SCOURER 4 PIECES,"Pristar Remote Control Car Hand Gesture Controlled Car, 1:14 RC Stunt Auto 360Â° Rotation 3 Control Methods 2.4 GHz Drift Glove Controlled Cars Gift Toy for Kids Boy Girls Age 5 6 7 8 9 10 11 12",5050796011778,-,B0C7FJY9SL,0.744,42.99,24.965,,400.0,1.0,,,UNKNOWN,24.965,-,Different brands detected; products not compatible,
44,FILTERED_OUT,35,UNKNOWN,False,TONTIKA BROOM & HANDLE MAXI OUTDOOR,"Nespresso Citiz Coffee Machine by De'Longhi for Original Coffee Pods, Italian Inspired Espresso, Quality Coffee, Starter Capsule Set Included, EN167.B, Black",8003653033670,-,B01KWWYF6A,4.596,139.0,91.6683333333333,,900.0,1.0,1.0,1.0,1:1 Match,91.6683333333333,-,Different brands detected; products not compatible,
45,FILTERED_OUT,5,UNKNOWN,False,SECURPAK POZI COUNTERSUNK SCREWS ZP 5X60MM,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",5019923202892,-,B0CQP7TT72,0.792,39.99,24.70625,,50.0,,1.0,,UNKNOWN,24.70625,-,Different brands detected; products not compatible,dimension_trap
46,FILTERED_OUT,0,UNKNOWN,False,DEKTON MASONRY DRILL BIT 5MM X 85MM,Mydome Light Switch Timer â€“ Police Approved Retro Fit Timer Switch - A No Wiring Home Security Lighting & Burglar Deterrent,5055441463407,609613846212,B00YA95TZI,0.48,32.99,19.2516666666666,,200.0,1.0,,,UNKNOWN,19.2516666666666,-,Different brands detected; products not compatible,
47,FILTERED_OUT,35,UNKNOWN,False,HAPPY 6TH BIRTHDAY BANNER BLUE 9FT,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",011179859771,-,B0CQP7TT72,0.804,39.99,24.69625,,50.0,1.0,1.0,1.0,1:1 Match,24.69625,-,Different brands detected; products not compatible,
48,FILTERED_OUT,5,UNKNOWN,False,BETTINA SPONGE CELLULOSE 3 SCOURER,OLEVS Mens Watches Designer Calendar Dress Metal Stainless Steel Quartz Analog Waterproof Luminous Wrist Watch Gent Large,5052578022309,-,B0BPLGMW1B,0.852,42.77,25.1916666666666,,100.0,1.0,,,UNKNOWN,25.1916666666666,-,Different brands detected; products not compatible,
49,FILTERED_OUT,0,UNKNOWN,False,DIWALI SOUP PLATE 20CM,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",026102289587,4820184122314,B0D9W1S3Y5,1.548,60.8,36.5566666666666,,200.0,,,,UNKNOWN,36.5566666666666,-,Different brands detected; products not compatible,
50,FILTERED_OUT,0,UNKNOWN,False,DLUX PRO KLEEN 2 IN 1 MICROFIBRE FLAT MOP WITH HEAD CHENILLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055706641137,717710483480,B0FGHZB8FM,4.296,129.0,80.58,,50.0,,,,UNKNOWN,80.58,-,Different brands detected; products not compatible,
51,FILTERED_OUT,0,UNKNOWN,False,OPAL SQUARE SOUP PLATE WHITE,"George Foreman Immersa Medium Electric Grill [Removable Control Panel allows grill machine to be fully washable & dishwasher safe, Energy saving, Healthy, Toastie, Panini, Hot plate, BBQ] Black 28310",6260573000843,5038061143195,B0BGK57HPC,1.02,49.5,27.0999999999999,,400.0,,,,UNKNOWN,27.0999999999999,Shared anchors: PLATE,Different brands detected; products not compatible,
52,FILTERED_OUT,0,UNKNOWN,False,ABBEY HAND SPRAY 750ML,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",5013174024821,705736243089,B0DL47ZJR2,1.236,50.99,30.1616666666666,,100.0,1.0,,,UNKNOWN,30.1616666666666,-,Different brands detected; products not compatible,
53,FILTERED_OUT,0,UNKNOWN,False,BETTINA SCOURER 6 MIXED SCOURERS,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,-,-,B07YWB6QGR,0.804,38.77,23.1983333333333,,50.0,1.0,,,UNKNOWN,23.1983333333333,-,Different brands detected; products not compatible,
