RowID,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,NetProfit,Adjusted_Profit,ROI,sales,title_match,is_exact_ean_strict,Brand_Match,RSU,Pack_Verdict,Category,SubCategory,Filter_Reason
28,DUNLOP BIKE BRAKE CABLE INNER CABLE,"Peradix Wooden Chess Set, 19"" Large Foldable Chess Board Game with 3.75"" King & 2 Extra Queens, Professional Classic Chess Set for Adults and Kids",8711252476247,nan,B0FHK2CM5W,27.8683333333333,27.8683333333333,0.24445906432748502,100,0.19889502762430938,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
29,CHRISTMAS VELVET COLOURING SET 2PC,"KableRika LED Desk Lamp for Office, Double Head Desk Lamp with Base, Dimmable Architect Desk Light, Eye Caring Monitor Light Bar with Timer, Task Lamp for Work Study Read Home Office Lighting",5056170355988,nan,B0D25HS86F,24.86625,24.86625,0.236821428571428,200,0.1511111111111111,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
30,PLATE 10.5 INCH ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,6923456812901,198715902921,B0DK877SSC,26.1283333333333,26.1283333333333,0.23539039039038998,50,0.1574074074074074,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
31,LYNWOOD MINI ROLLER SET 5PACK,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5016574137825,nan,B0DN6BWS36,65.51625,65.51625,0.225918103448275,50,0.19607843137254902,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
32,SNOW WHITE CHRISTMAS RIBBON  SILVER,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,5050565712875,nan,B0D62LX8W5,28.7304166666666,28.7304166666666,0.224456380208333,100,0.14213197969543148,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
33,LOVE SCENTED WAX MELTS,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,5050565512352,nan,B0D62LX8W5,27.2816666666666,27.2816666666666,0.22362021857923403,100,0.13043478260869565,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
34,SPRAY ADHESIVE HEAVY DUTY 500ML,LEGO | Marvel Iron Man Mark 3 Collectors' Edition Figure - Avengers Display Model Kit for Adults - incl. a Minifigure & Arc Reactor - Collectible Gift for Fans - 76344,5056239432094,nan,B0FPXDNJ1T,74.475,74.475,0.22231343283582,200,0.16161616161616163,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
35,PRIMA DINNER PLATE FLOWER DESIGN 26.5CM,"Gillette Intimate Trimmer i5 - Pubic Hair & Body Groomer for Men, SkinFirst Waterproof Manscaping Trimmer, Cordless Wet/Dry Body Hair Shaver for Private Parts & Sensitive Areas",5038673190075,8700216280167,B0CM3SM41B,42.8916666666666,42.8916666666666,0.217724196277495,300,0.13953488372093023,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
36,UNIQUE CANDLE NUMBER W/DECOR 6,"Lehoo Castle Dino Construction Truck Sit and Spin Toys for Toddlers 1-3 Boys, 360Â° Toddler Spinning Seat with Lights and Music, Sensory Toys Christmas Birthday Gift for Kids Age 2 3 4 5",11179373161,nan,B0FP2P7WNL,24.655,24.655,0.21627192982456098,300,0.18518518518518517,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
37,BRIGHT & HOMELY STAINLESS STEEL SCOURER 4 PIECES,"Pristar Remote Control Car Hand Gesture Controlled Car, 1:14 RC Stunt Auto 360Â° Rotation 3 Control Methods 2.4 GHz Drift Glove Controlled Cars Gift Toy for Kids Boy Girls Age 5 6 7 8 9 10 11 12",5050796011778,nan,B0C7FJY9SL,24.965,24.965,0.21337606837606798,400,0.21487603305785125,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
